id,nctn,invn,suffix,tsk,lir,ogtd,cls,controllo_inventario,rifatta,
10852,1600010852,65871,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10853,1600010853,65872,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10854,1600010854,65873,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10855,1600010855,65874,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10856,1600010856,65875,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10857,1600010857,65876,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10858,1600010858,65877,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10859,1600010859,65878,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10860,1600010860,65879,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10861,1600010861,65880,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10862,1600010862,65881,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10863,1600010863,65882,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10864,1600010864,65883,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10865,1600010865,65884,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10866,1600010866,65885,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10867,1600010867,65886,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10868,1600010868,65887,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10869,1600010869,65888,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10870,1600010870,65889,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10871,1600010871,65890,,RA,C,Rilievo raffigurante Apollo-Hyakinthos,,0,f,
10872,1600010872,65891,,RA,C,Rilievo raffigurante Apollo-Hyakinthos,,0,f,
10873,1600010873,65892,,RA,C,Rilievo raffigurante figura femminile,,0,f,
10874,1600010874,65893,,RA,C,Rilievo raffigurante figura femminile,,0,f,
10875,1600010875,65894,,RA,C,Rilievo raffigurante figura femminile,,0,f,
10876,1600010876,65895,,RA,C,Rilievo raffigurante figura femminile,,0,f,
10877,1600010877,65896,,RA,C,Rilievo raffigurante figura femminile,,0,f,
10878,1600010878,65897,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10879,1600010879,65898,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10880,1600010880,65899,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10881,1600010881,65900,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10882,1600010882,65901,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10883,1600010883,65902,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10884,1600010884,65903,,RA,C,Rilievo raffigurante divinità femminile,,0,f,
10885,1600010885,65904,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10886,1600010886,65905,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10887,1600010887,65906,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10888,1600010888,65907,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10889,1600010889,65908,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10890,1600010890,65909,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10891,1600010891,65910,,RA,C,Rilievo del culto di Dionysos-Hades raffigurante Persephone-Kore ?,,0,f,
10892,1600010892,65911,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10893,1600010893,65912,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10894,1600010894,65913,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10895,1600010895,65914,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10896,1600010896,65915,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10897,1600010897,65916,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10898,1600010898,65917,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10899,1600010899,65918,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10900,1600010900,65919,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10901,1600010901,65920,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10902,1600010902,65921,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10903,1600010903,65922,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10904,1600010904,65923,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10905,1600010905,65924,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10906,1600010906,65925,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10907,1600010907,65926,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10908,1600010908,65927,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10909,1600010909,65928,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10910,1600010910,65929,,RA,C,Rilievo raffigurante Persephone-Kore ?,,0,f,
10911,1600010911,65930,,RA,C,Testa di figura femminile,,0,f,
10912,1600010912,65931,,RA,C,Testa di figura femminile,,0,f,
10913,1600010913,65932,,RA,C,Testa di figura femminile,,0,f,
10914,1600010914,65933,,RA,C,Testa di figura femminile,,0,f,
10915,1600010915,65934,,RA,C,Testa di figura femminile,,0,f,
10916,1600010916,65935,,RA,C,Testa di figura femminile,,0,f,
10917,1600010917,65936,,RA,C,Testa di figura femminile,,0,f,
10918,1600010918,65937,,RA,C,Testa di figura femminile,,0,f,
10919,1600010919,65938,,RA,C,Testa di figura femminile,,0,f,
10920,1600010920,65939,,RA,C,Testa di figura femminile,,0,f,
10921,1600010921,65940,,RA,C,Testa di figura femminile,,0,f,
10922,1600010922,65941,,RA,C,Testa di figura femminile,,0,f,
10923,1600010923,65942,,RA,C,Testa di figura femminile,,0,f,
10924,1600010924,65943,,RA,C,Testa di figura femminile,,0,f,
10925,1600010925,65944,,RA,C,Testa di figura femminile,,0,f,
10926,1600010926,65945,,RA,C,Testa di figura femminile,,0,f,
10927,1600010927,65946,,RA,C,Testa di figura femminile,,0,f,
10928,1600010928,65947,,RA,C,Testa di figura femminile,,0,f,
10929,1600010929,65948,,RA,C,Testa di figura femminile,,0,f,
10930,1600010930,65949,,RA,C,Testa di figura femminile,,0,f,
