id,nctn,invn,suffix,tsk,lir,ogtd,cls,controllo_inventario,rifatta,
1,1600000001,16001,,RA,C,Ansa di capeduncola,,1,f,
2,1600000002,16002,,RA,C,Ansa di capeduncola,,1,f,
3,1600000003,16003,,RA,C,Ansa di capeduncola,,1,f,
4,1600000004,16004,,RA,C,Ansa di capeduncola,,1,f,
5,1600000005,16005,,RA,C,Ansa di capeduncola,,1,f,
6,1600000006,16006,,RA,C,Ansa di capeduncola,,1,f,
7,1600000007,16007,,RA,C,Ansa di capeduncola,,1,f,
8,1600000008,16008,,RA,C,Ansa di capeduncola,,1,f,
9,1600000009,16009,,RA,C,Ansa di capeduncola,,1,f,
10,1600000010,16010,,RA,C,Ansa di capeduncola,,1,f,
11,1600000011,16011,,RA,C,Ansa di capeduncola,,1,f,
12,1600000012,16012,,RA,C,Frammento di capeduncola,,1,f,
13,1600000013,16013,,RA,C,Ansa di capeduncola,,1,f,
14,1600000014,16014 a-b,,RA,C,Ansa di capeduncola,,2,f,
15,1600000015,16015,,RA,C,Ansa di capeduncola,,1,f,
16,1600000016,16016,,RA,C,Frammento di capeduncola,,1,f,
17,1600000017,16017,,RA,C,Frammento di capeduncola,,1,f,
18,1600000018,16018,,RA,C,Frammento di capeduncola,,1,f,
19,1600000019,16019,,RA,C,Ansa di capeduncola,,1,f,
20,1600000020,16020 a-b,,RA,C,Frammento di capeduncola/Ansa di capeduncola,,2,f,
21,1600000021,16021,,RA,C,Ansa di capeduncola,,1,f,
22,1600000022,16022,,RA,C,Ansa di capeduncola,,1,f,
23,1600000023,16023,,RA,C,Ansa di capeduncola,,1,f,
24,1600000024,16024 a-b,,RA,C,Frammento di capeduncola/Ansa di capeduncola,,2,f,
25,1600000025,16025 a-b,,RA,C,Frammento di capeduncola,,2,f,
26,1600000026,16026 a-b,,RA,C,Ansa di capeduncola,,2,f,
27,1600000027,16027 a-b,,RA,C,Frammento di capeduncola/Ansa di capeduncola,,2,f,
28,1600000028,16028,,RA,C,Ansa di capeduncola,,1,f,
29,1600000029,16029,,RA,C,Ansa di capeduncola,,1,f,
30,1600000030,16030,,RA,C,Ansa di capeduncola,,1,f,
31,1600000031,16031,,RA,C,Ansa di capeduncola,,1,f,
32,1600000032,16032 a-b,,RA,C,Ansa di capeduncola,,2,f,
33,1600000033,16033 a-c,,RA,C,Ansa di capeduncola,,2,f,
34,1600000034,16034,,RA,C,Ansa di capeduncola,,1,f,
35,1600000035,16035,,RA,C,Ansa di capeduncola,,1,f,
36,1600000036,16036,,RA,C,Ansa di capeduncola,,1,f,
37,1600000037,16037 a-b,,RA,C,Ansa di capeduncola,,2,f,
38,1600000038,16038 a-b,,RA,C,Ansa di capeduncola,,2,f,
39,1600000039,16039 a-b,,RA,C,Frammento di capeduncola,,2,f,
40,1600000040,16040,,RA,C,Frammento di capeduncola,,1,f,
41,1600000041,16041,,RA,C,Frammento di capeduncola,,1,f,
42,1600000042,16042,,RA,C,Ansa di capeduncola,,1,f,
43,1600000043,16043,,RA,C,Ansa di capeduncola,,1,f,
44,1600000044,16044 a-b,,RA,C,Ansa di capeduncola,,2,f,
45,1600000045,16045,,RA,C,Ansa di capeduncola,,1,f,
46,1600000046,16046,,RA,C,Ansa di capeduncola,,1,f,
47,1600000047,16047,,RA,C,Ansa di capeduncola,,1,f,
48,1600000048,16048,,RA,C,Ansa di capeduncola,,1,f,
49,1600000049,16049,,RA,C,Ansa di capeduncola,,1,f,
50,1600000050,16050,,RA,C,Ansa di capeduncola,,1,f,
51,1600000051,16051 a-b,,RA,C,Ansa di capeduncola,,2,f,
52,1600000052,16052,,RA,C,Ansa di capeduncola,,1,f,
53,1600000053,16053 a-b,,RA,C,Ansa di capeduncola,,2,f,
54,1600000054,16054,,RA,C,Ansa di capeduncola,,1,f,
55,1600000055,16055,,RA,C,Ansa di capeduncola,,1,f,
56,1600000056,16056,,RA,C,Ansa di capeduncola,,1,f,
57,1600000057,16057,,RA,C,Ansa di capeduncola,,1,f,
58,1600000058,16058,,RA,C,Ansa di capeduncola,,1,f,
59,1600000059,16059,,RA,C,Ansa di capeduncola,,1,f,
60,1600000060,16060,,RA,C,Ansa di capeduncola,,1,f,
61,1600000061,16061,,RA,C,Ansa di capeduncola,,1,f,
62,1600000062,16062,,RA,C,Ansa di capeduncola,,1,f,
63,1600000063,16063,,RA,C,Ansa di capeduncola,,1,f,
64,1600000064,16064,,RA,C,Ansa di capeduncola,,1,f,
65,1600000065,16065,,RA,C,Frammento di capeduncola,,1,f,
66,1600000066,16066,,RA,C,Frammento di capeduncola,,1,f,
67,1600000067,16067,,RA,C,Ansa di capeduncola,,1,f,
68,1600000068,16068,,RA,C,Frammento di capeduncola,,1,f,
69,1600000069,16069,,RA,C,Frammento di capeduncola,,1,f,
70,1600000070,16070,,RA,C,Ansa di capeduncola,,1,f,
71,1600000071,16071,,RA,C,Ansa di capeduncola,,1,f,
72,1600000072,16072,,RA,C,Frammento di capeduncola,,1,f,
73,1600000073,16073,,RA,C,Ansa di capeduncola,,1,f,
74,1600000074,16074,,RA,C,Ansa di capeduncola,,1,f,
75,1600000075,16075,,RA,C,Ansa di capeduncola,,1,f,
76,1600000076,16076,,RA,C,Ansa di capeduncola,,1,f,
77,1600000077,16077,,RA,C,Ansa di capeduncola,,1,f,
78,1600000078,16078,,RA,C,Ansa di capeduncola,,1,f,
79,1600000079,16079,,RA,C,Ansa di capeduncola,,1,f,
80,1600000080,16080,,RA,C,Ansa di capeduncola,,1,f,
81,1600000081,16081,,RA,C,Ansa di capeduncola,,1,f,
82,1600000082,16082,,RA,C,Ansa di capeduncola,,1,f,
83,1600000083,16083,,RA,C,Ansa di capeduncola,,1,f,
84,1600000084,16084,,RA,C,Ansa di capeduncola,,1,f,
85,1600000085,16085,,RA,C,Ansa di capeduncola,,1,f,
86,1600000086,16086,,RA,C,Ansa di capeduncola,,1,f,
87,1600000087,16087,,RA,C,Ansa di capeduncola,,1,f,
88,1600000088,16088,,RA,C,Ansa di capeduncola,,1,f,
89,1600000089,16089,,RA,C,Ansa di capeduncola,,1,f,
90,1600000090,16090,,RA,C,Ansa di capeduncola,,1,f,
91,1600000091,16091,,RA,C,Ansa di capeduncola,,1,f,
92,1600000092,16092,,RA,C,Ansa di capeduncola,,1,f,
93,1600000093,16093,,RA,C,Ansa di capeduncola,,1,f,
94,1600000094,16094,,RA,C,Frammento di orcio,,1,f,
95,1600000095,16095,,RA,C,Frammento di orcio,,1,f,
96,1600000096,16096,,RA,C,Frammento di capeduncola,,1,f,
97,1600000097,16097,,RA,C,Frammento di olla,,1,f,
98,1600000098,16098,,RA,C,Frammento di orcio,,1,f,
99,1600000099,16099,,RA,C,Ansa di capeduncola,,1,f,
100,1600000100,16100,,RA,C,Frammento di capeduncola,,1,f,
101,1600000101,16101,,RA,C,Ansa di capeduncola,,1,f,
102,1600000102,16102,,RA,C,Vaso miniaturistico,,1,f,
103,1600000103,16103,,RA,C,Frammento di olla,,1,f,
104,1600000104,16104,,RA,C,Frammento di scodellone,,1,f,
105,1600000105,16105,,RA,C,Coperchio di bollitoio,,1,f,
106,1600000106,16106,,RA,C,Frammento di orcio,,1,f,
107,1600000107,16107,,RA,C,Scodella monoansata,,1,f,
108,1600000108,16108,,RA,C,Disco fittile,,1,f,
109,1600000109,16109,,RA,C,Frammento di capeduncola,,1,f,
110,1600000110,16110,,RA,C,Frammento con presa a bottone,,1,f,
111,1600000111,16111,,RA,C,Presa a bottone,,1,f,
112,1600000112,16112,,RA,C,Frammento di capeduncola,,1,f,
113,1600000113,16113,,RA,C,Frammento di capeduncola,,1,f,
114,1600000114,16114,,RA,C,Frammento di orcio,,1,f,
115,1600000115,16115,,RA,C,Scodella monoansata,,1,f,
116,1600000116,16116,,RA,C,Colatoio,,1,f,
117,1600000117,16117,,RA,C,Ansa di capeduncola,,1,f,
118,1600000118,16118,,RA,C,Frammento di orcio,,1,f,
119,1600000119,16119,,RA,C,Ansa di capeduncola,,1,f,
120,1600000120,16120,,RA,C,Capeduncola,,1,f,
121,1600000121,16121,,RA,C,Ansa,,1,f,
122,1600000122,16122,,RA,C,Ansa,,1,f,
123,1600000123,16123,,RA,C,Frammento di capeduncola,,1,f,
124,1600000124,16124,,RA,C,Frammento di vaso,,1,f,
125,1600000125,16125,,RA,C,Frammento di vaso,,1,f,
126,1600000126,16126,,RA,C,Coperchio campanulato,,1,f,
127,1600000127,16127,,RA,C,Frammento di orcio,,1,f,
128,1600000128,16128,,RA,C,Ansa di capeduncola,,1,f,
129,1600000129,16129,,RA,C,Frammento di orcio,,1,f,
130,1600000130,16130,,RA,C,Frammento di olla,,1,f,
131,1600000131,16131,,RA,C,Frammento di orcio,,1,f,
132,1600000132,16132,,RA,C,Frammento di olla,,1,f,
133,1600000133,16133,,RA,C,Frammento di vaso,,1,f,
134,1600000134,16134,,RA,C,Frammento di olla,,1,f,
135,1600000135,16135,,RA,C,Frammento di capeduncola,,1,f,
136,1600000136,16136,,RA,C,Frammento di olla,,1,f,
137,1600000137,16137,,RA,C,Frammento di capeduncola,,1,f,
138,1600000138,16138,,RA,C,Frammento di olla,,1,f,
139,1600000139,16139,,RA,C,Frammento di olla,,1,f,
140,1600000140,16140,,RA,C,Frammento di brocca,,1,f,
141,1600000141,16141,,RA,C,Frammento di olla,,1,f,
142,1600000142,16142,,RA,C,Ansa di scodellone,,1,f,
143,1600000143,16143,,RA,C,Frammento di capeduncola,,1,f,
144,1600000144,16144,,RA,C,Frammento di capeduncola,,1,f,
145,1600000145,16145,,RA,C,Frammento di capeduncola,,1,f,
146,1600000146,16146,,RA,C,Frammento di scodellone,,1,f,
147,1600000147,16147,,RA,C,Frammento di scodella,,1,f,
148,1600000148,16148,,RA,C,Frammento di capeduncola,,1,f,
149,1600000149,16149,,RA,C,Frammento di olla,,1,f,
150,1600000150,16150,,RA,C,Frammento di orcio,,1,f,
151,1600000151,16151,,RA,C,Frammento di orcio,,1,f,
152,1600000152,16152,,RA,C,Frammento di olla,,1,f,
153,1600000153,16153,,RA,C,Frammento di olla,,1,f,
154,1600000154,16154,,RA,C,Capeduncola,,1,f,
155,1600000155,16155,,RA,C,Ansa di capeduncola,,1,f,
156,1600000156,16156,,RA,C,Coperchio,,1,f,
157,1600000157,16157,,RA,C,Frammento di ansa di capeduncola,,1,f,
158,1600000158,16158,,RA,C,Frammento di ansa di capeduncola,,1,f,
159,1600000159,16159,,RA,C,Coperchio,,1,f,
160,1600000160,16160,,RA,C,Capeduncola,,1,f,
161,1600000161,16161,,RA,C,Ansa di vaso,,1,f,
162,1600000162,16162,,RA,C,Frammento di capeduncola,,1,f,
163,1600000163,16163,,RA,C,Frammento di capeduncola,,1,f,
164,1600000164,16164,,RA,C,Frammento di capeduncola,,1,f,
165,1600000165,16165,,RA,C,Frammento di ansa,,1,f,
166,1600000166,16166,,RA,C,Frammento di scodella,,1,f,
167,1600000167,16167,,RA,C,Presa ad ascia con volto umano,,1,f,
168,1600000168,16168,,RA,C,Frammento di ansa,,1,f,
169,1600000169,16169,,RA,C,Frammento di ansa,,1,f,
170,1600000170,16170,,RA,C,Frammento di ansa,,1,f,
171,1600000171,16171,,RA,C,Frammento di ansa,,1,f,
172,1600000172,16172,,RA,C,Ansa di capeduncola,,1,f,
173,1600000173,16173,,RA,C,Frammento di ansa,,1,f,
174,1600000174,16174,,RA,C,Frammento di ansa,,1,f,
175,1600000175,16175,,RA,C,Frammento di ansa,,1,f,
176,1600000176,16176,,RA,C,Frammento di ansa di capeduncola,,1,f,
177,1600000177,16177,,RA,C,Frammento di capeduncola,,1,f,
178,1600000178,16178,,RA,C,Ansa di capeduncola,,1,f,
179,1600000179,16179,,RA,C,Ansa di capeduncola,,1,f,
180,1600000180,16180,,RA,C,Ansa di capeduncola,,1,f,
181,1600000181,16181,,RA,C,Ansa di capeduncola,,1,f,
182,1600000182,16182,,RA,C,Capeduncola,,1,f,
183,1600000183,16183,,RA,C,Frammento di ansa di capeduncola,,1,f,
184,1600000184,16184,,RA,C,Frammento di ansa,,1,f,
185,1600000185,16185,,RA,C,Frammento di ansa,,1,f,
186,1600000186,16186,,RA,C,Frammento di ansa,,1,f,
187,1600000187,16187,,RA,C,Frammento di ansa,,1,f,
188,1600000188,16188,,RA,C,Frammento di ansa,,1,f,
189,1600000189,16189,,RA,C,Frammento di ansa,,1,f,
190,1600000190,16190,,RA,C,Ansa,,1,f,
191,1600000191,16191,,RA,C,Frammento di ansa,,1,f,
192,1600000192,16192,,RA,C,Ansa di capeduncola,,1,f,
193,1600000193,16193,,RA,C,Ansa di scodella,,1,f,
194,1600000194,16194,,RA,C,Frammento di ansa,,1,f,
195,1600000195,16195,,RA,C,Ansa di capeduncola,,1,f,
196,1600000196,16196,,RA,C,Frammento di ansa di capeduncola,,1,f,
197,1600000197,16197,,RA,C,Frammento di capeduncola,,1,f,
198,1600000198,16198,,RA,C,Frammento di capeduncola,,1,f,
199,1600000199,16199,,RA,C,Frammento di scodella,,1,f,
200,1600000200,16200,,RA,C,Ansa di capeduncola,,1,f,
201,1600000201,16201,,RA,C,Ansa di capeduncola,,1,f,
202,1600000202,16202,,RA,C,Frammento di scodella,,1,f,
203,1600000203,16203,,RA,C,Frammento di scodella,,1,f,
204,1600000204,16204,,RA,C,Frammento di vaso,,1,f,
205,1600000205,16205,,RA,C,Frammento di capeduncola,,1,f,
206,1600000206,16206,,RA,C,Ansa,,1,f,
207,1600000207,16207,,RA,C,Capeduncola,,1,f,
208,1600000208,16208,,RA,C,Frammento di olla,,1,f,
209,1600000209,16209,,RA,C,Ansa di capeduncola,,1,f,
210,1600000210,16210,,RA,C,Ansa di capeduncola,,1,f,
211,1600000211,16211,,RA,C,Ansa di capeduncola,,1,f,
212,1600000212,16212,,RA,C,Ansa di capeduncola,,1,f,
213,1600000213,16213,,RA,C,Ansa di capeduncola,,1,f,
214,1600000214,16214,,RA,C,Ansa di capeduncola,,1,f,
215,1600000215,16215,,RA,C,Ansa di capeduncola,,1,f,
216,1600000216,16216,,RA,C,Ansa di capeduncola,,1,f,
217,1600000217,16217,,RA,C,Ansa di capeduncola,,1,f,
218,1600000218,16218,,RA,C,Ansa di capeduncola,,1,f,
219,1600000219,16219,,RA,C,Ansa di capeduncola,,1,f,
220,1600000220,16220,,RA,C,Ansa di capeduncola,,1,f,
221,1600000221,16221,,RA,C,Frammento di ansa di capeduncola,,1,f,
222,1600000222,16222,,RA,C,Frammento di ansa di capeduncola,,1,f,
223,1600000223,16223,,RA,C,Ansa di capeduncola,,1,f,
224,1600000224,16224,,RA,C,Ansa di capeduncola,,1,f,
225,1600000225,16225,,RA,C,Ansa di capeduncola,,1,f,
226,1600000226,16226,,RA,C,Frammento di ansa di capeduncola,,1,f,
227,1600000227,16227,,RA,C,Ansa di capeduncola,,1,f,
228,1600000228,16228,,RA,C,Ansa di capeduncola,,1,f,
229,1600000229,16229,,RA,C,Frammento di ansa di capeduncola,,1,f,
230,1600000230,16230,,RA,C,Ansa di capeduncola,,1,f,
231,1600000231,16231,,RA,C,Capeduncola,,1,f,
232,1600000232,16232,,RA,C,Ansa di capeduncola,,1,f,
233,1600000233,16233,,RA,C,Ansa di capeduncola,,1,f,
234,1600000234,16234,,RA,C,Capeduncola,,1,f,
235,1600000235,16235,,RA,C,Ansa di capeduncola,,1,f,
236,1600000236,16236,,RA,C,Ansa di capeduncola,,1,f,
237,1600000237,16237,,RA,C,Ansa di capeduncola,,1,f,
238,1600000238,16238,,RA,C,Capeduncola,,1,f,
239,1600000239,16239,,RA,C,Frammento di ansa,,1,f,
240,1600000240,16240,,RA,C,Ansa di capeduncola,,1,f,
241,1600000241,16241,,RA,C,Frammento di ansa,,1,f,
242,1600000242,16242,,RA,C,Frammento di ansa,,1,f,
243,1600000243,16243,,RA,C,Ansa di capeduncola,,1,f,
244,1600000244,16244,,RA,C,Ansa di capeduncola,,1,f,
245,1600000245,16245,,RA,C,Frammento di ansa di capeduncola,,1,f,
246,1600000246,16246,,RA,C,Capeduncola,,1,f,
247,1600000247,16247,,RA,C,Ansa di capeduncola,,1,f,
248,1600000248,16248,,RA,C,Capeduncola,,1,f,
249,1600000249,16249,,RA,C,Frammento di ansa di capeduncola,,1,f,
250,1600000250,16250,,RA,C,Ansa di capeduncola,,1,f,
251,1600000251,16251,,RA,C,Ansa di capeduncola,,1,f,
252,1600000252,16252,,RA,C,Ansa di capeduncola,,1,f,
253,1600000253,16253,,RA,C,Ansa di capeduncola,,1,f,
254,1600000254,16254,,RA,C,Ansa di capeduncola,,1,f,
255,1600000255,16255,,RA,C,Ansa di capeduncola,,1,f,
256,1600000256,16256,,RA,C,Ansa di capeduncola,,1,f,
257,1600000257,16257,,RA,C,Frammento di capeduncola,,1,f,
258,1600000258,16258,,RA,C,Ansa di capeduncola,,1,f,
259,1600000259,16259,,RA,C,Ansa di capeduncola,,1,f,
260,1600000260,16260,,RA,C,Frammento di capeduncola,,1,f,
261,1600000261,16261,,RA,C,Frammento di capeduncola,,1,f,
262,1600000262,16262,,RA,C,Frammento di capeduncola,,1,f,
263,1600000263,16263,,RA,C,Frammento di capeduncola,,1,f,
264,1600000264,16264,,RA,C,Ansa a ponte,,1,f,
265,1600000265,16265,,RA,C,Frammento di ansa a ponte,,1,f,
266,1600000266,16266,,RA,C,Frammento di ansa complessa,,1,f,
267,1600000267,16267,,RA,C,Frammento di ansa complessa,,1,f,
268,1600000268,16268,,RA,C,Ansa di capeduncola,,1,f,
269,1600000269,16269,,RA,C,Ansa di capeduncola,,1,f,
270,1600000270,16270,,RA,C,Ansa di capeduncola,,1,f,
271,1600000271,16271,,RA,C,Ansa di capeduncola,,1,f,
272,1600000272,16272,,RA,C,Ansa di capeduncola,,1,f,
273,1600000273,16273,,RA,C,Ansa di capeduncola,,1,f,
274,1600000274,16274,,RA,C,Ansa di capeduncola,,1,f,
275,1600000275,16275,,RA,C,Ansa di capeduncola,,1,f,
276,1600000276,16276,,RA,C,Frammento di capeduncola,,1,f,
277,1600000277,16277,,RA,C,Ansa di capeduncola,,1,f,
278,1600000278,16278,,RA,C,Ansa di capeduncola,,1,f,
279,1600000279,16279,,RA,C,Ansa di capeduncola,,1,f,
280,1600000280,16280,,RA,C,Ansa di capeduncola,,1,f,
281,1600000281,16281,,RA,C,Ansa di capeduncola,,1,f,
282,1600000282,16282,,RA,C,Ansa di capeduncola,,1,f,
283,1600000283,16283,,RA,C,Ansa di capeduncola,,1,f,
284,1600000284,16284,,RA,C,Ansa di capeduncola,,1,f,
285,1600000285,16285,,RA,C,Ansa di capeduncola,,1,f,
286,1600000286,16286,,RA,C,Ansa di capeduncola,,1,f,
287,1600000287,16287,,RA,C,Ansa di capeduncola,,1,f,
288,1600000288,16288,,RA,C,Ansa di capeduncola,,1,f,
289,1600000289,16289,,RA,C,Ansa di capeduncola,,1,f,
290,1600000290,16290,,RA,C,Ansa di capeduncola,,1,f,
291,1600000291,16291,,RA,C,Frammento di capeduncola,,1,f,
292,1600000292,16292,,RA,C,Ansa di capeduncola,,1,f,
293,1600000293,16293,,RA,C,Frammento di ansa di capeduncola,,1,f,
294,1600000294,16294,,RA,C,Frammento di capeduncola,,1,f,
295,1600000295,16295,,RA,C,Ansa di capeduncola,,1,f,
296,1600000296,16296,,RA,C,Ansa di capeduncola,,1,f,
297,1600000297,16297,,RA,C,Ansa di capeduncola,,1,f,
298,1600000298,16298,,RA,C,Frammento di capeduncola,,1,f,
299,1600000299,16299,,RA,C,Frammento di capeduncola,,1,f,
300,1600000300,16300,,RA,C,Ansa di capeduncola,,1,f,
301,1600000301,16301,,RA,C,Ansa di capeduncola,,1,f,
302,1600000302,16302,,RA,C,Ansa di capeduncola,,1,f,
303,1600000303,16303,,RA,C,Ansa di capeduncola,,1,f,
304,1600000304,16304,,RA,C,Frammento di vaso con presa forata,,1,f,
305,1600000305,16305,,RA,C,Frammento di scodella,,1,f,
306,1600000306,16306,,RA,C,Ansa di capeduncola,,1,f,
307,1600000307,16307,,RA,C,Ansa di capeduncola,,1,f,
308,1600000308,16308,,RA,C,Ansa di orcio,,1,f,
309,1600000309,16309,,RA,C,Ansa di orcio,,1,f,
310,1600000310,16310,,RA,C,Frammento di orcio,,1,f,
311,1600000311,16311,,RA,C,Ansa di capeduncola,,1,f,
312,1600000312,16312,,RA,C,Ansa di capeduncola,,1,f,
313,1600000313,16313,,RA,C,Ansa di capeduncola,,1,f,
314,1600000314,16314,,RA,C,Ansa di capeduncola,,1,f,
315,1600000315,16315,,RA,C,Ansa di capeduncola,,1,f,
316,1600000316,16316,,RA,C,Disco terminale di ansa cornuta,,1,f,
317,1600000317,16317,,RA,C,Frammento di ansa di capeduncola,,1,f,
318,1600000318,16318,,RA,C,Frammento di ansa di capeduncola,,1,f,
319,1600000319,16319,,RA,C,Ansa di capeduncola,,1,f,
320,1600000320,16320,,RA,C,Ansa di capeduncola,,1,f,
321,1600000321,16321,,RA,C,Frammento di ansa,,1,f,
322,1600000322,16322,,RA,C,Frammento di ansa,,1,f,
323,1600000323,16323,,RA,C,Ansa di capeduncola,,1,f,
324,1600000324,16324,,RA,C,Ansa di capeduncola,,1,f,
325,1600000325,16325,,RA,C,Ansa di capeduncola,,1,f,
326,1600000326,16326,,RA,C,Ansa di capeduncola,,1,f,
327,1600000327,16327,,RA,C,Ansa di capeduncola,,1,f,
328,1600000328,16328,,RA,C,Ansa di capeduncola,,1,f,
329,1600000329,16329,,RA,C,Ansa di capeduncola,,1,f,
330,1600000330,16330,,RA,C,Frammento di ansa,,1,f,
331,1600000331,16331,,RA,C,Ansa di capeduncola,,1,f,
332,1600000332,16332,,RA,C,Frammento di ansa,,1,f,
333,1600000333,16333,,RA,C,Ansa di capeduncola,,1,f,
334,1600000334,16334,,RA,C,Ansa di capeduncola,,1,f,
335,1600000335,16335,,RA,C,Frammento di ansa,,1,f,
336,1600000336,16336,,RA,C,Ansa di capeduncola,,1,f,
337,1600000337,16337,,RA,C,Frammento di capeduncola,,1,f,
338,1600000338,16338,,RA,C,Frammento di capeduncola,,1,f,
339,1600000339,16339,,RA,C,Becco-ansa,,1,f,
340,1600000340,16340,,RA,C,Becco-ansa,,1,f,
341,1600000341,16341,,RA,C,Ansa-becco,,1,f,
342,1600000342,16342,,RA,C,Ansa-becco,,1,f,
343,1600000343,16343,,RA,C,Ansa-becco,,1,f,
344,1600000344,16344,,RA,C,Ansa-becco,,1,f,
345,1600000345,16345,,RA,C,Frammento di scodella,,1,f,
346,1600000346,16346,,RA,C,Ansa di scodella,,1,f,
347,1600000347,16347,,RA,C,Frammento di scodella,,1,f,
348,1600000348,16348,,RA,C,Ansa di scodella,,1,f,
349,1600000349,16349,,RA,C,Frammento di scodella,,1,f,
350,1600000350,16350,,RA,C,Frammento di scodella,,1,f,
351,1600000351,16351,,RA,C,Frammento di orlo di scodella,,1,f,
352,1600000352,16352,,RA,C,Ansa di scodella con appendice subgeometrica cilindrica,,1,f,
353,1600000353,16353,,RA,C,Ansa,,1,f,
354,1600000354,16354,,RA,C,Ansa,,1,f,
355,1600000355,16355,,RA,C,Appendice di ansa,,1,f,
356,1600000356,16356,,RA,C,Frammento di ansa,,1,f,
357,1600000357,16357 a-t,,RA,C,Corno di ansa,,2,f,
358,1600000358,16358 a-i,,RA,C,Corno di ansa,,2,f,
359,1600000359,16359 a-c,,RA,C,Corno di ansa,,2,f,
360,1600000360,16360,,RA,C,Verga d'impasto,,1,f,
361,1600000361,16361,,RA,C,Frammento di olla,,1,f,
362,1600000362,16362,,RA,C,Frammento di vaso,,1,f,
363,1600000363,16363,,RA,C,Frammento di vaso,,1,f,
364,1600000364,16364,,RA,C,Frammento di olla,,1,f,
365,1600000365,16365,,RA,C,Frammento di olla,,1,f,
366,1600000366,16366,,RA,C,Frammento di olla,,1,f,
367,1600000367,16367,,RA,C,Frammento con presa a lingua,,1,f,
368,1600000368,16368,,RA,C,Frammento con presa a lingua,,1,f,
369,1600000369,16369,,RA,C,Frammento di vaso aperto,,1,f,
370,1600000370,16370,,RA,C,Frammento di vaso globoso,,1,f,
371,1600000371,16371,,RA,C,Frammento di pithos,,1,f,
372,1600000372,16372,,RA,C,Frammento di vaso con cordone,,1,f,
373,1600000373,16373,,RA,C,Presa di vaso,,1,f,
374,1600000374,16374,,RA,C,Frammento di olla con presa,,1,f,
375,1600000375,16375,,RA,C,Frammento di vaso con presa,,1,f,
376,1600000376,16376,,RA,C,Frammento di olla,,1,f,
377,1600000377,16377,,RA,C,Presa di vaso,,1,f,
378,1600000378,16378,,RA,C,Presa di vaso,,1,f,
379,1600000379,16379,,RA,C,Frammento di orcio,,1,f,
380,1600000380,16380,,RA,C,Frammento di orcio,,1,f,
381,1600000381,16381,,RA,C,Frammento di scodella,,1,f,
382,1600000382,16382,,RA,C,Frammento di scodella,,1,f,
383,1600000383,16383,,RA,C,Frammento di scodella,,1,f,
384,1600000384,16384,,RA,C,Frammento di scodella,,1,f,
385,1600000385,16385,,RA,C,Frammento di scodella,,1,f,
386,1600000386,16386,,RA,C,Frammento di scodella,,1,f,
387,1600000387,16387,,RA,C,Frammento di scodella,,1,f,
388,1600000388,16388,,RA,C,Frammento di scodella,,1,f,
389,1600000389,16389,,RA,C,Frammento di olletta,,1,f,
390,1600000390,16390,,RA,C,Presa a rocchetto,,1,f,
391,1600000391,16391,,RA,C,Ansa a rocchetto,,1,f,
392,1600000392,16392,,RA,C,Frammento di scodella,,1,f,
393,1600000393,16393,,RA,C,Presa a rocchetto,,1,f,
394,1600000394,16394,,RA,C,Presa a rocchetto,,1,f,
395,1600000395,16395,,RA,C,Presa a rocchetto,,1,f,
396,1600000396,16396,,RA,C,Presa,,1,f,
397,1600000397,16397,,RA,C,Frammento di scodella,,1,f,
398,1600000398,16398,,RA,C,Presa a rocchetto,,1,f,
399,1600000399,16399,,RA,C,Frammento di scodella,,1,f,
400,1600000400,16400,,RA,C,Ansa di scodella,,1,f,
401,1600000401,16401,,RA,C,Presa di olla,,1,f,
402,1600000402,16402,,RA,C,Presa di scodella,,1,f,
403,1600000403,16403,,RA,C,Presa,,1,f,
404,1600000404,16404,,RA,C,Presa,,1,f,
405,1600000405,16405,,RA,C,Presa,,1,f,
406,1600000406,16406,,RA,C,Presa,,1,f,
407,1600000407,16407,,RA,C,Presa,,1,f,
408,1600000408,16408,,RA,C,Frammento di scodella,,1,f,
409,1600000409,16409,,RA,C,Frammento di scodellina con presa,,1,f,
410,1600000410,16410,,RA,C,Presa,,1,f,
411,1600000411,16411,,RA,C,Presa di scodella,,1,f,
412,1600000412,16412,,RA,C,Presa,,1,f,
413,1600000413,16413,,RA,C,Presa,,1,f,
414,1600000414,16414,,RA,C,Presa,,1,f,
415,1600000415,16415,,RA,C,Presa,,1,f,
416,1600000416,16416,,RA,C,Presa di scodella,,1,f,
417,1600000417,16417,,RA,C,Presa,,1,f,
418,1600000418,16418,,RA,C,Presa,,1,f,
419,1600000419,16419,,RA,C,Presa,,1,f,
420,1600000420,16420,,RA,C,Presa,,1,f,
421,1600000421,16421,,RA,C,Ansa,,1,f,
422,1600000422,16422,,RA,C,Presa,,1,f,
423,1600000423,16423,,RA,C,Presa,,1,f,
424,1600000424,16424,,RA,C,Presa,,1,f,
425,1600000425,16425,,RA,C,Presa,,1,f,
426,1600000426,16426,,RA,C,Presa,,1,f,
427,1600000427,16427,,RA,C,Presa di vaso,,1,f,
428,1600000428,16428,,RA,C,Presa,,1,f,
429,1600000429,16429,,RA,C,Frammento di scodella,,1,f,
430,1600000430,16430,,RA,C,Presa,,1,f,
431,1600000431,16431,,RA,C,Frammento di scodella,,1,f,
432,1600000432,16432,,RA,C,Presa,,1,f,
433,1600000433,16433,,RA,C,Presa,,1,f,
434,1600000434,16434,,RA,C,Presa,,1,f,
