gruppo,code,color
10YR,5/6,yellowish brown
10YR,5/8,yellowish brown
10YR,6/1,gray
10YR,6/2,light brownish gray
10YR,6/3,pale brown
10YR,6/4,light yellowish brown
10YR,6/6,brownish yellow
10YR,6/8,brownish yellow
10YR,7/1,light gray
10YR,7/2,light gray
10YR,7/3,very pale brown
10YR,7/4,very pale brown
10YR,7/6,yellow
10YR,7/8,yellow
10YR,8/1,white
10YR,8/2,very pale brown
10YR,8/3,very pale brown
10YR,8/4,very pale brown
10YR,8/6,yellow
10YR,8/8,yellow
GLEY 1,2.5/ N,black
GLEY 1,2.5/1 10Y,greenish black
GLEY 1,2.5/1 5GY,greenish black
GLEY 1,2.5/1 10 GY,greenish black
GLEY 1,2.5/1 5G,greenish black
GLEY 1,2.5/2 5G,dark grayish green
GLEY 1,3/ N,very dark gray
GLEY 1,3/1 10Y,dark greenish gray
GLEY 1,3/1 5GY,dark greenish gray
GLEY 1,3/1 10GY,dark greenish gray
GLEY 1,3/1 5G,dark greenish gray
GLEY 1,3/2 5G,dark grayish green
GLEY 1,4/ N,dark gray
GLEY 1,4/1 10Y,dark greenish gray
GLEY 1,4/1 5GY,dark greenish gray
GLEY 1,4/1 10GY,dark greenish gray
GLEY 1,4/1 5G,dark greenish gray
GLEY 1,4/2 5G,grayish green
GLEY 1,5/ N,gray
GLEY 1,5/1 10Y,greenish gray
GLEY 1,5/1 5GY,greenish gray
GLEY 1,5/1 10GY,greenish gray
GLEY 1,5/1 5G,greenish gray
GLEY 1,5/2 5G,grayish green
GLEY 1,6/ N,gray
GLEY 1,6/1 10Y,greenish gray
GLEY 1,6/1 5GY,greenish gray
GLEY 1,6/1 10GY,greenish gray
GLEY 1,6/1 5G,greenish gray
GLEY 1,6/2 5G,pale green
GLEY 1,7/ N,light gray
GLEY 1,7/1 10Y,light greenish gray
GLEY 1,7/1 5GY,light greenish gray
GLEY 1,7/1 10GY,light greenish gray
GLEY 1,7/1 5G,light greenish gray
GLEY 1,7/2 5G,pale green
GLEY 1,8/ N,white
GLEY 1,8/1 10Y,light greenish gray
GLEY 1,8/1 5GY,light greenish gray
GLEY 1,8/1 10GY,light greenish gray
GLEY 1,8/1 5G,light greenish gray
GLEY 1,8/2 5G,pale green
GLEY 2,2.5/1 10G,greenish black
GLEY 2,2.5/1 5BG,greenish black
GLEY 2,2.5/1 10BG,greenish black
GLEY 2,2.5/1 5B,bluish black
GLEY 2,2.5/1 10B,bluish black
GLEY 2,2.5/1 5PB,bluish black
GLEY 2,3/1 10G,dark greenish gray
GLEY 2,3/1 5BG,dark greenish gray
GLEY 2,3/1 10BG,dark greenish gray
GLEY 2,3/1 5B,dark bluish gray
GLEY 2,3/1 10B,dark bluish gray
GLEY 2,3/1 5PB,dark bluish gray
GLEY 2,4/1 10G,dark greenish gray
GLEY 2,4/1 5BG,dark greenish gray
GLEY 2,4/1 10BG,dark greenish gray
GLEY 2,4/1 5B,dark bluish gray
GLEY 2,4/1 10B,dark bluish gray
GLEY 2,4/1 5PB,dark bluish gray
GLEY 2,5/1 10G,greenish gray
GLEY 2,5/1 5BG,greenish gray
GLEY 2,5/1 10BG,greenish gray
GLEY 2,5/1 5B,bluish gray
GLEY 2,5/1 10B,bluish gray
GLEY 2,5/1 5PB,bluish gray
GLEY 2,6/1 10G,greenish gray
GLEY 2,6/1 5BG,greenish gray
GLEY 2,6/1 10BG,greenish gray
GLEY 2,6/1 5B,bluish gray
GLEY 2,6/1 10B,bluish gray
GLEY 2,6/1 5PB,bluish gray
GLEY 2,7/1 10G,light greenish gray
GLEY 2,7/1 5BG,light greenish gray
GLEY 2,7/1 10BG,light greenish gray
GLEY 2,7/1 5B,light bluish gray
GLEY 2,7/1 10B,light bluish gray
GLEY 2,7/1 5PB,light bluish gray
GLEY 2,8/1 10G,light greenish gray
GLEY 2,8/1 5BG,light greenish gray
GLEY 2,8/1 10BG,light greenish gray
GLEY 2,8/1 5B,light bluish gray
GLEY 2,8/1 10B,light bluish gray
GLEY 2,8/1 5PB,light bluish gray
