id,scheda,dtm
1,,6
48,,6
54,,6
126,,6
142,,6
147,,6
149,,6
152,,6
153,,6
154,,6
155,,6
156,,6
171,,6
172,,6
340,,6
393,,6
396,,6
397,,6
398,,6
399,,6
400,,6
475,,6
560,,6
563,,6
564,,6
565,,6
568,,6
569,,6
570,,6
571,,6
572,,6
744,,6
747,,6
749,,6
754,,6
756,,6
763,,6
1440,,6
1454,,6
1470,,6
1471,,6
1527,,6
1656,,6
1701,,6
1702,,6
1703,,6
1420,,8
1,,8
48,,8
54,,8
126,,8
142,,8
147,,8
149,,8
152,,8
153,,8
154,,8
155,,8
156,,8
171,,8
172,,8
340,,8
393,,8
396,,8
397,,8
398,,8
399,,8
400,,8
475,,8
560,,8
563,,8
564,,8
565,,8
568,,8
569,,8
570,,8
571,,8
572,,8
744,,8
747,,8
749,,8
754,,8
756,,8
763,,8
1440,,8
1454,,8
1470,,8
1471,,8
1527,,8
1656,,8
1701,,8
1702,,8
1703,,8
104,,8
105,,8
106,,8
107,,8
108,,8
109,,8
110,,8
111,,8
112,,8
113,,8
119,,8
120,,8
121,,8
122,,8
123,,8
134,,8
139,,8
140,,8
143,,8
145,,8
150,,8
476,,8
479,,8
482,,8
488,,8
489,,8
490,,8
491,,8
494,,8
542,,8
802,,8
803,,8
838,,8
839,,8
842,,8
850,,8
852,,8
853,,8
855,,8
867,,8
869,,8
974,,8
975,,8
976,,8
977,,8
1099,,8
1358,,8
1359,,8
1360,,8
1361,,8
1362,,8
1381,,8
1382,,8
1383,,8
1392,,8
1406,,8
1407,,8
1408,,8
1427,,8
1462,,8
1498,,8
1502,,8
1597,,8
1598,,8
1599,,8
1600,,8
1601,,8
1697,,8
1698,,8
1714,,8
1733,,8
1734,,8
1735,,8
1736,,8
1737,,8
1738,,8
1739,,8
1766,,8
1768,,8
1769,,8
1783,,8
1784,,8
1788,,8
1789,,8
1790,,8
8,,8
316,,8
317,,8
319,,8
7,,8
537,,8
559,,8
735,,8
736,,8
737,,8
136,,8
114,,8
117,,8
118,,8
137,,8
138,,8
352,,8
358,,8
361,,8
362,,8
377,,8
380,,8
381,,8
383,,8
384,,8
385,,8
387,,8
388,,8
477,,8
492,,8
493,,8
511,,8
787,,8
864,,8
889,,8
893,,8
894,,8
896,,8
899,,8
900,,8
906,,8
907,,8
912,,8
921,,8
922,,8
923,,8
924,,8
925,,8
926,,8
927,,8
930,,8
933,,8
942,,8
943,,8
944,,8
947,,8
948,,8
949,,8
950,,8
1062,,8
1063,,8
1396,,8
1499,,8
1529,,8
1536,,8
1583,,8
1584,,8
1724,,8
2,,8
3,,8
4,,8
9,,8
10,,8
12,,8
31,,8
32,,8
33,,8
34,,8
35,,8
36,,8
37,,8
38,,8
39,,8
40,,8
41,,8
42,,8
43,,8
44,,8
45,,8
47,,8
49,,8
50,,8
51,,8
52,,8
53,,8
55,,8
56,,8
57,,8
58,,8
59,,8
60,,8
61,,8
62,,8
63,,8
64,,8
65,,8
66,,8
67,,8
68,,8
69,,8
70,,8
71,,8
72,,8
73,,8
74,,8
75,,8
76,,8
77,,8
78,,8
79,,8
80,,8
81,,8
82,,8
83,,8
84,,8
85,,8
86,,8
87,,8
88,,8
89,,8
128,,8
129,,8
144,,8
146,,8
151,,8
157,,8
158,,8
159,,8
160,,8
161,,8
162,,8
163,,8
164,,8
165,,8
166,,8
169,,8
185,,8
186,,8
188,,8
189,,8
190,,8
191,,8
195,,8
196,,8
197,,8
204,,8
303,,8
304,,8
305,,8
306,,8
307,,8
308,,8
309,,8
310,,8
311,,8
312,,8
313,,8
314,,8
315,,8
318,,8
320,,8
321,,8
334,,8
335,,8
336,,8
337,,8
338,,8
339,,8
341,,8
342,,8
343,,8
344,,8
345,,8
346,,8
374,,8
382,,8
495,,8
496,,8
497,,8
498,,8
499,,8
500,,8
501,,8
502,,8
503,,8
504,,8
505,,8
506,,8
507,,8
508,,8
509,,8
510,,8
541,,8
578,,8
579,,8
580,,8
581,,8
582,,8
583,,8
584,,8
723,,8
724,,8
725,,8
726,,8
727,,8
728,,8
729,,8
730,,8
731,,8
732,,8
733,,8
734,,8
770,,8
849,,8
865,,8
868,,8
870,,8
871,,8
874,,8
875,,8
881,,8
888,,8
892,,8
905,,8
908,,8
909,,8
916,,8
919,,8
928,,8
951,,8
952,,8
953,,8
954,,8
955,,8
956,,8
957,,8
959,,8
960,,8
961,,8
962,,8
968,,8
1079,,8
1092,,8
1097,,8
1100,,8
1101,,8
1102,,8
1103,,8
1104,,8
1105,,8
1106,,8
1107,,8
1108,,8
1203,,8
1204,,8
1205,,8
1230,,8
1363,,8
1364,,8
1370,,8
1378,,8
1379,,8
1380,,8
1384,,8
1385,,8
1386,,8
1388,,8
1391,,8
1394,,8
1397,,8
1398,,8
1400,,8
1401,,8
1402,,8
1403,,8
1405,,8
1410,,8
1419,,8
1461,,8
1466,,8
1467,,8
1468,,8
1469,,8
1475,,8
1476,,8
1477,,8
1478,,8
1500,,8
1563,,8
1595,,8
1740,,8
114,,11
117,,11
118,,11
137,,11
138,,11
352,,11
358,,11
361,,11
362,,11
377,,11
380,,11
381,,11
383,,11
384,,11
385,,11
387,,11
388,,11
477,,11
492,,11
493,,11
787,,11
864,,11
889,,11
893,,11
894,,11
896,,11
899,,11
900,,11
906,,11
907,,11
912,,11
921,,11
922,,11
923,,11
924,,11
925,,11
926,,11
927,,11
930,,11
933,,11
942,,11
943,,11
944,,11
947,,11
948,,11
949,,11
950,,11
1062,,11
1063,,11
1396,,11
1499,,11
1529,,11
1536,,11
1583,,11
1584,,11
1724,,11
390,,11
124,,11
125,,11
323,,11
324,,11
325,,11
104,,11
105,,11
106,,11
107,,11
108,,11
109,,11
110,,11
111,,11
112,,11
113,,11
119,,11
120,,11
121,,11
122,,11
123,,11
134,,11
139,,11
140,,11
143,,11
145,,11
150,,11
476,,11
479,,11
482,,11
488,,11
489,,11
490,,11
491,,11
494,,11
542,,11
802,,11
803,,11
838,,11
839,,11
842,,11
850,,11
852,,11
853,,11
855,,11
867,,11
869,,11
974,,11
975,,11
976,,11
977,,11
1099,,11
1358,,11
1359,,11
1360,,11
1361,,11
1362,,11
1381,,11
1382,,11
1383,,11
1392,,11
1406,,11
1407,,11
1408,,11
1420,,11
1427,,11
1462,,11
1498,,11
1502,,11
1597,,11
1598,,11
1599,,11
1600,,11
1601,,11
1697,,11
1698,,11
1714,,11
1733,,11
1734,,11
1735,,11
1736,,11
1737,,11
1738,,11
1739,,11
1766,,11
1768,,11
1769,,11
1783,,11
1784,,11
1788,,11
1789,,11
1790,,11
11,,11
13,,11
14,,11
15,,11
16,,11
17,,11
18,,11
19,,11
20,,11
21,,11
22,,11
23,,11
24,,11
25,,11
26,,11
27,,11
28,,11
29,,11
91,,11
92,,11
93,,11
115,,11
116,,11
132,,11
133,,11
243,,11
244,,11
245,,11
246,,11
247,,11
248,,11
249,,11
250,,11
251,,11
252,,11
253,,11
254,,11
255,,11
256,,11
257,,11
258,,11
259,,11
260,,11
261,,11
262,,11
263,,11
264,,11
265,,11
266,,11
267,,11
268,,11
269,,11
270,,11
271,,11
272,,11
273,,11
274,,11
275,,11
276,,11
277,,11
278,,11
279,,11
280,,11
281,,11
282,,11
283,,11
284,,11
285,,11
286,,11
287,,11
288,,11
289,,11
290,,11
291,,11
292,,11
293,,11
294,,11
295,,11
296,,11
297,,11
298,,11
299,,11
300,,11
301,,11
302,,11
349,,11
355,,11
356,,11
364,,11
365,,11
366,,11
367,,11
368,,11
369,,11
370,,11
371,,11
375,,11
394,,11
395,,11
478,,11
480,,11
481,,11
533,,11
536,,11
740,,11
752,,11
753,,11
755,,11
764,,11
769,,11
782,,11
783,,11
784,,11
833,,11
836,,11
837,,11
840,,11
841,,11
843,,11
844,,11
845,,11
958,,11
1065,,11
1068,,11
1070,,11
1093,,11
1387,,11
1393,,11
1395,,11
1404,,11
1416,,11
1417,,11
1537,,11
1538,,11
1539,,11
1540,,11
1541,,11
1542,,11
1543,,11
1544,,11
1545,,11
1546,,11
1547,,11
1548,,11
1549,,11
1550,,11
1551,,11
1552,,11
1555,,11
1556,,11
1557,,11
1558,,11
1559,,11
1560,,11
1569,,11
1570,,11
1572,,11
1577,,11
1578,,11
1590,,11
1591,,11
1596,,11
1602,,11
1607,,11
1608,,11
1664,,11
1665,,11
1721,,11
1722,,11
1728,,11
1729,,11
1730,,11
1731,,11
1732,,11
1741,,11
457,,13
458,,13
459,,13
460,,13
461,,13
462,,13
463,,13
464,,13
465,,13
466,,13
467,,13
468,,13
469,,13
470,,13
471,,13
472,,13
322,,13
351,,13
360,,13
428,,13
242,,13
8,,13
316,,13
317,,13
319,,13
327,,13
5,,13
6,,13
30,,13
46,,13
90,,13
141,,13
148,,13
167,,13
168,,13
170,,13
174,,13
175,,13
176,,13
177,,13
178,,13
179,,13
180,,13
181,,13
182,,13
183,,13
184,,13
187,,13
192,,13
193,,13
194,,13
198,,13
199,,13
200,,13
201,,13
202,,13
203,,13
209,,13
326,,13
328,,13
329,,13
330,,13
331,,13
333,,13
348,,13
350,,13
353,,13
354,,13
357,,13
359,,13
363,,13
373,,13
376,,13
378,,13
379,,13
386,,13
389,,13
391,,13
401,,13
402,,13
403,,13
404,,13
405,,13
406,,13
407,,13
408,,13
409,,13
410,,13
411,,13
412,,13
413,,13
422,,13
429,,13
430,,13
431,,13
432,,13
433,,13
434,,13
435,,13
436,,13
437,,13
438,,13
439,,13
440,,13
441,,13
442,,13
443,,13
444,,13
448,,13
483,,13
484,,13
485,,13
486,,13
487,,13
518,,13
519,,13
520,,13
521,,13
522,,13
523,,13
524,,13
525,,13
526,,13
527,,13
528,,13
529,,13
534,,13
535,,13
561,,13
562,,13
566,,13
567,,13
573,,13
574,,13
575,,13
576,,13
577,,13
585,,13
586,,13
587,,13
589,,13
590,,13
591,,13
592,,13
593,,13
594,,13
595,,13
596,,13
597,,13
598,,13
599,,13
600,,13
601,,13
602,,13
603,,13
604,,13
605,,13
606,,13
607,,13
608,,13
609,,13
610,,13
611,,13
612,,13
613,,13
614,,13
615,,13
616,,13
617,,13
618,,13
619,,13
620,,13
621,,13
622,,13
623,,13
624,,13
625,,13
626,,13
627,,13
628,,13
629,,13
630,,13
631,,13
632,,13
633,,13
634,,13
635,,13
636,,13
637,,13
638,,13
639,,13
640,,13
641,,13
642,,13
643,,13
644,,13
645,,13
646,,13
647,,13
648,,13
649,,13
650,,13
651,,13
652,,13
653,,13
654,,13
655,,13
656,,13
657,,13
658,,13
659,,13
660,,13
661,,13
662,,13
663,,13
664,,13
665,,13
666,,13
667,,13
680,,13
715,,13
716,,13
717,,13
718,,13
719,,13
720,,13
721,,13
722,,13
738,,13
739,,13
741,,13
743,,13
745,,13
746,,13
751,,13
757,,13
758,,13
759,,13
760,,13
761,,13
762,,13
765,,13
766,,13
767,,13
771,,13
775,,13
776,,13
778,,13
779,,13
780,,13
781,,13
785,,13
786,,13
788,,13
789,,13
790,,13
791,,13
792,,13
799,,13
800,,13
801,,13
804,,13
807,,13
808,,13
812,,13
813,,13
814,,13
815,,13
816,,13
817,,13
818,,13
819,,13
820,,13
821,,13
822,,13
823,,13
824,,13
825,,13
826,,13
827,,13
828,,13
829,,13
830,,13
