id,scheda,materia,tecnica
281,,48,Tecnica non presente in lista
282,,48,Tecnica non presente in lista
283,,48,Tecnica non presente in lista
284,,48,Tecnica non presente in lista
285,,48,Tecnica non presente in lista
286,,48,Tecnica non presente in lista
287,,48,Tecnica non presente in lista
288,,48,Tecnica non presente in lista
289,,48,Tecnica non presente in lista
290,,48,Tecnica non presente in lista
291,,48,Tecnica non presente in lista
292,,48,Tecnica non presente in lista
293,,48,Tecnica non presente in lista
294,,48,Tecnica non presente in lista
295,,48,Tecnica non presente in lista
296,,48,Tecnica non presente in lista
297,,48,Tecnica non presente in lista
298,,48,Tecnica non presente in lista
299,,48,Tecnica non presente in lista
300,,48,Tecnica non presente in lista
301,,48,Tecnica non presente in lista
302,,48,Tecnica non presente in lista
303,,48,Tecnica non presente in lista
304,,48,Tecnica non presente in lista
305,,48,Tecnica non presente in lista
306,,48,Tecnica non presente in lista
307,,48,Tecnica non presente in lista
308,,48,Tecnica non presente in lista
309,,48,Tecnica non presente in lista
310,,48,Tecnica non presente in lista
311,,48,Tecnica non presente in lista
312,,48,Tecnica non presente in lista
313,,48,Tecnica non presente in lista
314,,48,Tecnica non presente in lista
315,,48,Tecnica non presente in lista
316,,48,Tecnica non presente in lista
317,,48,Tecnica non presente in lista
340,,48,Tecnica non presente in lista
341,,48,Tecnica non presente in lista
342,,48,Tecnica non presente in lista
343,,48,Tecnica non presente in lista
344,,48,Tecnica non presente in lista
345,,48,Tecnica non presente in lista
346,,48,Tecnica non presente in lista
347,,48,Tecnica non presente in lista
348,,48,Tecnica non presente in lista
349,,48,Tecnica non presente in lista
350,,48,Tecnica non presente in lista
351,,48,Tecnica non presente in lista
352,,48,Tecnica non presente in lista
353,,48,Tecnica non presente in lista
354,,48,Tecnica non presente in lista
355,,48,Tecnica non presente in lista
356,,48,Tecnica non presente in lista
357,,48,Tecnica non presente in lista
358,,48,Tecnica non presente in lista
359,,48,Tecnica non presente in lista
360,,48,Tecnica non presente in lista
361,,48,Tecnica non presente in lista
362,,48,Tecnica non presente in lista
363,,48,Tecnica non presente in lista
364,,48,Tecnica non presente in lista
