id,scheda,misa,misl,misp,misn,misd
264,,9.5,9,,,
131,,16.5,9.5,,,
467,,3.5,10,,,
294,,4,10,,,
315,,4,10,,,
267,,5.3,10,,,
257,,6,10,,,
596,,8.3,10,,,
308,,9,10,,,
503,,54,10.2,,,
289,,5,10.5,,,
263,,3.5,11,,,
271,,5,11,,,
312,,6,11,,,
408,,1,11.5,,,
414,,1.9,11.5,,,
288,,1.8,12,,,
291,,4,12,,,
449,,4.5,12,,,
272,,2.2,13,,,
295,,4.5,13,,,
314,,7,13,,,
313,,9,13,,,
309,,10,13,,,
299,,17,13,,,
461,,18,13.5,,,
278,,6,14.5,,,
311,,7,15,,,
316,,7,15,,,
464,,3,15.6,,,
451,,,16,,,
466,,7.3,16.1,,,
15,,,16.5,,,
447,,22,17,,,
290,,4,18,,,
494,,14,18.5,,,
310,,13,19,,,
383,,17,19.5,,,
595,,20,20,,,
458,,49,20,,,
118,,19,20.5,,,
465,,3.5,21,,,
504,,16.2,21,,,
235,,28.5,21.5,,,
453,,4,22,,,
454,,57,22,,,
460,,43.5,24,,,
495,,17.5,26,,,
493,,22,31.5,,,
537,,31,34,,,
424,,36,37.5,,,
501,,20,51,,,
513,,57.1,52.1,,,
41,,27,26.5,,,
195,,1.1,,,,
246,,1.6,,,,
247,,1.6,,,,
208,,1.7,,,,
161,,1.8,,,,
162,,1.8,,,,
207,,1.8,,,,
514,,1.8,,,,
205,,1.9,,,,
204,,2,,,,
13,,2.3,,,,
14,,2.3,,,,
6,,2.5,,,,
7,,2.5,,,,
568,,2.5,,,,
552,,2.6,,,,
560,,2.8,,,,
186,,3,,,,
561,,3,,,,
238,,3.1,,,,
572,,3.3,,,,
239,,3.4,,,,
187,,3.5,,,,
297,,4,,,,
143,,4.4,,,,
570,,5.5,,,,
571,,6,,,,
583,,6,,,,
569,,6.3,,,,
574,,6.4,,,,
582,,6.7,,,,
573,,7.1,,,,
575,,7.5,,,,
111,,8.2,,,,
103,,8.3,,,,
