"scheda","dtsi","dtsf","start","end","id","value"
20979,330,290,-300,-201,27,"III secolo a.C."
20980,330,290,-300,-201,27,"III secolo a.C."
32954,-123,-123,-300,-201,27,"III secolo a.C."
32580,-340,-330,-300,-201,27,"III secolo a.C."
32267,-169,-158,-300,-201,27,"III secolo a.C."
24059,-325,-228,-300,-201,27,"III secolo a.C."
24102,-129,-129,-300,-201,27,"III secolo a.C."
31807,-310,-290,-300,-201,27,"III secolo a.C."
31806,-310,-290,-300,-201,27,"III secolo a.C."
324,-100,-1,-300,-201,27,"III secolo a.C."
325,-100,-1,-300,-201,27,"III secolo a.C."
358,-100,-1,-300,-201,27,"III secolo a.C."
31793,-302,-280,-300,-201,27,"III secolo a.C."
360,-100,-1,-300,-201,27,"III secolo a.C."
392,0,-100,-300,-201,27,"III secolo a.C."
29302,400,300,-300,-201,27,"III secolo a.C."
20889,302,280,-300,-201,27,"III secolo a.C."
404,-100,-1,-300,-201,27,"III secolo a.C."
405,-100,-1,-300,-201,27,"III secolo a.C."
31783,-302,-280,-300,-201,27,"III secolo a.C."
20840,314,314,-300,-201,27,"III secolo a.C."
20908,330,280,-300,-201,27,"III secolo a.C."
20909,330,280,-300,-201,27,"III secolo a.C."
20910,330,280,-300,-201,27,"III secolo a.C."
20911,330,280,-300,-201,27,"III secolo a.C."
20957,302,302,-300,-201,27,"III secolo a.C."
20958,302,302,-300,-201,27,"III secolo a.C."
20959,302,302,-300,-201,27,"III secolo a.C."
20960,302,302,-300,-201,27,"III secolo a.C."
20961,302,302,-300,-201,27,"III secolo a.C."
20962,302,302,-300,-201,27,"III secolo a.C."
20963,302,302,-300,-201,27,"III secolo a.C."
20964,302,302,-300,-201,27,"III secolo a.C."
20965,302,302,-300,-201,27,"III secolo a.C."
20966,302,302,-300,-201,27,"III secolo a.C."
20967,302,302,-300,-201,27,"III secolo a.C."
20968,302,302,-300,-201,27,"III secolo a.C."
20969,302,302,-300,-201,27,"III secolo a.C."
20970,302,302,-300,-201,27,"III secolo a.C."
20971,302,302,-300,-201,27,"III secolo a.C."
20841,314,314,-300,-201,27,"III secolo a.C."
20866,302,302,-300,-201,27,"III secolo a.C."
20867,302,302,-300,-201,27,"III secolo a.C."
22874,100,100,-200,-101,28,"II secolo a.C."
6188,-42,-40,-200,-101,28,"II secolo a.C."
22875,100,100,-200,-101,28,"II secolo a.C."
22876,100,100,-200,-101,28,"II secolo a.C."
22877,100,100,-200,-101,28,"II secolo a.C."
22878,100,100,-200,-101,28,"II secolo a.C."
22879,100,100,-200,-101,28,"II secolo a.C."
22880,100,100,-200,-101,28,"II secolo a.C."
6281,-300,-225,-200,-101,28,"II secolo a.C."
35413,124,124,-200,-101,28,"II secolo a.C."
7208,-49,-48,-200,-101,28,"II secolo a.C."
5721,-46,-46,-200,-101,28,"II secolo a.C."
21592,209,209,-200,-101,28,"II secolo a.C."
10422,-100,-100,-200,-101,28,"II secolo a.C."
31804,-225,-225,-200,-101,28,"II secolo a.C."
21637,100,100,-200,-101,28,"II secolo a.C."
31736,-580,-570,-200,-101,28,"II secolo a.C."
11051,-97,-97,-200,-101,28,"II secolo a.C."
5692,-42,-42,-200,-101,28,"II secolo a.C."
16351,-100,-100,-200,-101,28,"II secolo a.C."
16352,-100,-100,-200,-101,28,"II secolo a.C."
33601,-100,-100,-200,-101,28,"II secolo a.C."
16402,-100,-100,-200,-101,28,"II secolo a.C."
16403,-100,-100,-200,-101,28,"II secolo a.C."
22241,38,38,-200,-101,28,"II secolo a.C."
22242,38,38,-200,-101,28,"II secolo a.C."
16404,-100,-100,-200,-101,28,"II secolo a.C."
16635,-100,-100,-200,-101,28,"II secolo a.C."
16784,-100,-100,-200,-101,28,"II secolo a.C."
5701,-42,-42,-200,-101,28,"II secolo a.C."
16785,-100,-100,-200,-101,28,"II secolo a.C."
16786,-100,-100,-200,-101,28,"II secolo a.C."
3057,-225,-175,-200,-101,28,"II secolo a.C."
5814,-42,-42,-200,-101,28,"II secolo a.C."
5238,-104,-104,-100,-1,29,"I secolo a.C."
5231,-105,-105,-100,-1,29,"I secolo a.C."
5232,-105,-105,-100,-1,29,"I secolo a.C."
5234,-105,-105,-100,-1,29,"I secolo a.C."
5229,-105,-105,-100,-1,29,"I secolo a.C."
31801,-118,-118,-100,-1,29,"I secolo a.C."
5235,-105,-105,-100,-1,29,"I secolo a.C."
5233,-105,-105,-100,-1,29,"I secolo a.C."
31767,-118,-118,-100,-1,29,"I secolo a.C."
20629,141,141,-100,-1,29,"I secolo a.C."
5230,-105,-105,-100,-1,29,"I secolo a.C."
31768,-109,-108,-100,-1,29,"I secolo a.C."
31770,-135,-135,-100,-1,29,"I secolo a.C."
22225,145,145,-100,-1,29,"I secolo a.C."
22243,149,149,-100,-1,29,"I secolo a.C."
22244,145,145,-100,-1,29,"I secolo a.C."
22245,145,145,-100,-1,29,"I secolo a.C."
22246,145,145,-100,-1,29,"I secolo a.C."
22247,145,145,-100,-1,29,"I secolo a.C."
22410,148,148,-100,-1,29,"I secolo a.C."
35411,90,-90,-100,-1,29,"I secolo a.C."
35412,90,90,-100,-1,29,"I secolo a.C."
31772,-139,-139,-100,-1,29,"I secolo a.C."
5236,-105,-105,-100,-1,29,"I secolo a.C."
5237,-104,-104,-100,-1,29,"I secolo a.C."
5239,-104,-104,-100,-1,29,"I secolo a.C."
5228,-105,-105,-100,-1,29,"I secolo a.C."
5225,-106,-106,-100,-1,29,"I secolo a.C."
5218,-135,-135,-100,-1,29,"I secolo a.C."
35414,84,84,-100,-1,29,"I secolo a.C."
5223,-108,-108,-100,-1,29,"I secolo a.C."
5222,-108,-108,-100,-1,29,"I secolo a.C."
5219,-109,-109,-100,-1,29,"I secolo a.C."
5220,-109,-109,-100,-1,29,"I secolo a.C."
