id,dtm
606,13
607,13
608,13
609,13
609,16
610,13
610,16
611,13
611,16
612,13
612,16
613,13
613,16
614,13
614,16
615,13
615,16
616,13
616,16
617,13
617,16
618,13
618,16
619,13
619,16
620,13
620,16
621,8
621,11
622,8
622,11
623,11
624,13
624,16
625,13
625,16
626,13
627,13
628,13
629,13
630,13
631,13
632,13
633,13
634,13
635,13
636,13
637,13
638,13
639,13
640,13
641,13
642,13
643,13
644,13
645,8
645,11
646,8
646,11
647,8
647,11
648,8
648,11
649,8
649,11
650,13
651,13
652,13
653,13
654,13
655,13
656,13
657,13
657,16
658,13
658,16
659,13
659,16
660,13
660,16
661,13
661,16
662,13
662,16
663,8
663,11
664,8
664,11
665,8
665,11
666,8
666,11
667,8
667,11
668,8
668,11
669,8
669,11
670,8
670,11
671,8
671,11
672,8
672,11
673,8
673,11
674,8
674,11
675,8
675,11
676,8
676,11
677,8
677,11
678,8
678,11
679,8
679,11
680,8
680,11
681,8
681,11
682,13
683,11
683,8
684,11
684,8
685,11
686,13
687,11
687,8
688,11
688,8
689,11
689,8
690,11
690,8
691,11
691,8
692,11
692,8
693,11
693,8
694,13
695,13
696,13
697,13
698,13
699,13
700,13
701,13
701,16
702,13
702,16
703,13
703,16
704,13
704,16
705,13
705,16
706,13
706,16
707,13
707,16
708,13
708,16
709,13
709,16
710,13
710,16
711,13
711,16
712,13
712,16
713,13
714,13
714,16
715,13
715,16
716,13
716,16
717,13
717,16
718,13
718,16
719,13
719,16
720,13
720,16
721,13
721,16
722,13
722,16
723,11
724,13
725,13
726,13
727,13
728,8
728,11
729,8
729,11
730,8
730,11
731,13
731,16
732,13
732,16
733,13
733,16
734,13
734,16
735,13
735,16
736,13
736,16
737,13
737,16
738,13
738,16
739,13
739,16
740,13
740,16
741,13
741,16
742,13
742,16
743,13
743,16
744,13
744,16
745,13
745,16
746,13
746,16
747,13
747,16
748,13
748,16
749,13
749,16
750,13
750,16
751,13
751,16
752,13
752,16
753,13
753,16
754,13
754,16
755,13
755,16
756,13
756,16
757,13
757,16
758,13
758,16
759,13
759,16
760,13
760,16
761,13
761,16
762,13
762,16
763,13
764,13
765,13
766,13
767,13
768,13
768,16
769,13
769,16
770,13
770,16
771,8
772,8
773,8
774,13
775,13
776,13
777,13
778,13
779,13
780,13
781,13
782,11
783,11
784,11
785,11
786,11
787,13
788,13
789,13
790,13
791,11
792,11
793,11
794,11
795,16
796,8
797,11
798,11
799,11
799,16
800,11
800,16
801,11
801,16
802,11
802,16
803,11
803,16
804,11
804,16
805,11
805,16
806,11
807,11
808,11
809,11
809,16
810,11
811,11
812,16
813,16
814,16
815,16
816,16
817,16
818,11
819,11
820,16
821,8
822,11
823,11
824,11
825,11
826,11
827,11
828,11
829,11
830,11
831,8
832,8
833,11
834,11
835,8
836,8
837,8
838,11
839,11
840,11
841,11
842,11
843,11
844,11
845,13
846,11
847,11
848,16
849,16
850,8
851,8
852,11
853,8
854,11
855,11
856,8
857,8
858,11
859,11
860,8
861,8
862,16
863,16
864,16
865,16
866,16
867,16
868,16
869,16
870,8
871,8
872,11
873,11
874,11
875,11
876,11
877,11
878,11
879,11
880,16
881,16
882,16
883,16
884,13
885,13
886,13
887,16
888,16
889,16
890,16
891,16
892,16
893,16
894,16
895,16
896,16
897,11
898,16
899,8
900,11
901,15
901,16
902,11
903,11
904,8
905,8
906,8
907,8
908,11
909,8
910,11
911,16
912,11
913,8
913,11
914,11
914,16
915,11
916,11
917,11
918,11
919,11
920,11
921,11
922,11
923,11
924,11
925,11
926,11
927,11
928,11
929,11
930,11
931,11
931,16
932,11
932,16
933,11
934,11
935,11
936,16
937,16
938,16
939,16
940,16
941,16
942,16
943,16
944,8
945,11
946,11
947,11
948,11
949,8
950,8
951,11
952,8
953,8
954,11
955,11
956,11
957,11
958,11
959,11
960,11
961,11
962,11
963,16
964,16
965,13
966,13
967,13
968,13
969,13
970,13
971,13
972,13
973,13
974,13
975,13
976,13
977,13
978,8
979,8
980,11
981,8
982,11
983,15
984,13
985,11
986,11
987,13
988,11
989,11
990,11
991,11
992,11
993,11
994,15
995,15
996,15
997,15
998,15
999,15
1000,15
1001,15
1002,15
1003,15
1004,15
1005,15
1006,15
1007,15
1008,15
1009,11
1010,11
1011,11
1012,11
1013,11
1014,15
1015,15
1016,11
1017,15
1018,15
1019,11
1020,13
1021,11
1022,11
1023,15
1024,15
1025,8
1026,8
1027,8
1028,8
1029,11
1030,11
1031,11
1032,11
1033,11
1034,15
1035,15
1036,13
1037,11
1038,11
1039,15
1040,11
1041,11
1042,11
1043,11
1044,8
1045,8
1046,8
1047,11
1048,8
1049,8
1050,11
1051,11
1052,8
1053,11
1054,11
1055,11
1056,11
1057,8
1058,11
1059,8
1060,8
1061,8
1062,15
1063,11
1064,11
1065,8
1066,8
1067,11
1068,13
1069,8
1070,15
1071,11
1072,11
1073,11
1074,8
1075,11
1076,8
1077,15
1078,15
1079,15
1080,15
1081,15
1082,15
1083,15
1084,8
1085,8
1086,8
1087,8
1088,11
1089,11
1090,11
1091,16
1092,15
1092,16
1093,15
1093,16
1094,15
1094,16
1095,15
1095,16
1096,15
1096,16
1097,15
1097,16
1098,15
1098,16
1099,15
1099,16
1100,11
1101,8
1102,11
1103,15
1104,15
1105,15
1106,11
1107,13
1108,13
1109,11
1110,15
1111,15
1112,11
1113,11
1114,11
1115,11
1116,16
1117,11
1118,8
1119,11
1120,8
1121,11
1122,11
1123,11
1124,8
1125,8
1126,11
1127,11
1128,11
1129,11
1130,11
1131,15
1132,11
1133,11
1134,8
1135,11
1136,15
1137,11
1138,15
1139,11
1140,11
1141,15
1142,15
1143,13
1144,15
1145,13
1146,15
1147,13
1148,15
1149,8
1150,15
1151,15
1152,15
1153,11
1154,11
1155,11
1156,15
1157,15
1158,11
1159,11
1160,15
1161,16
1162,15
1163,15
1164,13
1165,15
1166,15
1167,11
1168,11
1169,15
1170,15
1171,15
1172,15
1173,15
1174,15
1175,15
1176,15
1177,15
1178,11
1179,23
1180,11
1181,15
1182,15
1183,15
1184,15
1185,15
1186,8
1187,8
1188,15
1189,15
1190,15
1191,8
1192,8
1193,8
1194,16
1195,8
1196,8
1197,11
1198,16
1199,11
1200,15
1201,13
1202,13
1203,13
1204,13
1205,13
1206,8
1207,15
1208,15
1209,15
1210,11
1211,15
1212,15
1213,15
1214,15
1215,15
1216,15
1217,15
1218,15
1219,15
1220,15
1221,15
1222,15
1223,8
1224,15
1225,15
1226,15
1227,11
1228,11
1229,15
1230,15
1231,15
1232,15
1233,16
1234,15
1235,15
1236,15
1237,15
1238,15
1239,15
1240,15
1241,15
1242,15
1243,15
1244,15
1245,15
1246,15
1247,15
1248,15
1249,15
1250,15
1251,15
1252,15
1253,11
1254,11
1255,11
1256,11
1257,11
1258,11
1259,11
1260,11
1261,11
1262,15
1263,15
1264,11
1265,11
1266,11
1267,11
1268,11
1269,11
1270,13
1271,11
1272,11
1273,11
1274,15
1275,15
1276,15
1277,15
1278,15
1279,15
1280,15
1281,15
1282,15
1283,15
1284,11
1284,8
1285,8
1286,8
1287,15
1288,15
1289,15
1290,15
1291,15
1292,11
1293,8
1294,11
1295,11
1296,15
1297,15
1298,15
1299,15
1300,15
1301,15
1302,15
1303,15
1304,15
1305,15
1306,15
1307,15
1308,15
1309,15
1310,15
1311,15
1312,15
1313,15
1314,15
1315,15
1316,15
1317,15
1318,15
1319,15
1320,15
1321,15
1322,15
1323,13
1324,13
1325,16
1326,16
1327,16
1328,8
1328,11
1329,8
1329,11
1330,8
1330,11
1331,8
1331,11
1332,8
1332,11
1333,8
1333,11
1334,8
1334,11
1335,8
1335,11
1336,8
1336,11
1337,8
1337,11
1338,8
1338,11
1339,8
1339,11
1340,8
1340,11
1341,8
1341,11
1342,8
1342,11
1343,8
1343,11
1344,8
1344,11
1345,8
1345,11
1346,8
1347,13
1347,16
1348,13
1348,16
1349,13
1349,16
1350,13
1350,16
1351,13
1351,16
1352,13
1352,16
1353,13
1354,13
1355,13
1356,13
1357,13
1358,13
1359,13
1360,13
1361,13
1362,13
1363,13
1364,8
1364,13
1365,8
1365,13
1366,8
1366,13
1367,8
1367,13
1368,8
1368,13
1369,8
1369,13
1370,8
1370,13
1371,8
1371,13
1372,8
1372,13
1373,8
1373,13
1374,8
1374,13
1375,8
1375,13
1376,8
1376,13
1377,8
1377,13
1378,8
1378,13
1379,8
1379,13
1380,8
1380,13
1381,8
1381,13
1382,13
1383,13
1384,13
1385,13
1386,13
1387,13
1388,13
1389,13
1390,13
1391,13
1392,13
1393,13
1394,8
1394,13
1395,8
1395,13
1396,8
1396,13
1397,8
1397,13
1398,11
1399,11
1400,13
1401,13
1402,13
1403,13
1404,13
1405,13
1406,11
1407,11
1408,11
1409,11
1410,11
1411,11
1412,11
1413,11
1414,8
1415,11
1416,8
1417,11
1418,11
1419,8
1420,11
1421,11
1422,11
1423,11
1424,11
1425,11
1426,11
1427,11
1428,8
1429,11
1430,11
1431,11
1432,11
1433,11
1434,11
1435,11
1436,11
1437,11
1438,11
1439,11
1440,8
1441,11
1442,8
1443,11
1444,11
1445,11
1446,11
1447,11
1448,8
1449,8
1450,11
1451,11
1452,11
1453,11
1454,11
1455,11
1456,11
1457,11
1458,11
1459,11
1460,11
1461,11
1462,11
1463,11
1464,11
1465,8
1466,11
1467,11
1468,11
1469,11
1470,15
1471,13
1472,13
1473,13
1474,13
1475,13
1476,13
1477,13
1478,13
1479,13
1480,13
1481,13
1482,13
1483,13
1484,13
1485,13
1486,13
1487,13
1488,13
1489,13
1490,13
1491,13
1492,13
1493,13
1494,13
1495,15
1496,15
1497,15
1498,11
1499,8
1500,8
1501,8
1502,11
1503,8
1504,8
1505,8
1506,11
1507,8
1508,8
1509,8
1510,8
1511,8
1512,8
1513,8
1514,8
1515,11
1516,11
1517,8
1518,8
1519,16
1520,16
1521,16
1522,11
1523,8
1524,8
1525,11
1526,11
1527,11
1528,11
1529,8
1530,8
1531,11
1532,11
1533,8
1534,11
1535,11
1536,11
1537,11
1538,11
1539,11
1540,11
1541,11
1542,11
1543,11
1544,11
1545,11
1546,8
1547,11
1548,11
1549,8
1550,11
1551,11
1552,8
1553,8
1554,8
1555,8
1556,8
1557,8
1558,8
1559,8
1560,8
1561,8
1562,8
1563,13
1564,13
1565,13
1566,13
1567,16
1568,16
1569,16
1570,16
1571,16
1572,16
1573,16
1574,16
1575,16
1576,16
1577,11
1578,11
1579,13
1580,11
1581,11
1582,11
1583,11
1584,11
1585,11
1586,11
1587,11
1588,11
1589,15
1590,15
1591,15
1592,15
1593,15
1594,15
1595,15
1596,11
1597,11
1598,15
1599,15
1600,11
1601,13
1602,13
1603,13
1604,13
1605,13
1606,13
1607,13
1608,13
1609,13
1610,13
1611,13
1612,13
1613,13
1614,13
1615,13
1616,13
1617,13
1618,13
1619,13
1620,13
