scheda,biblio,contributo,pagine,figure,livello
612,,112,40,18,4
613,,112,"56, 89",fig. 32 p. 56; fig. 1 p. 89,4
614,,112,"56, 89",fig. 32 p. 56; fig. 2 p. 89,4
615,,112,"39, 89",fig. 17.4 p. 39; fig. 3 p. 89,4
616,,112,"39, 90",fig. 17.5 p. 39; fig. 4 p. 90,4
617,,112,35,"12,2",4
618,,112,61,37.5,4
619,,112,61,37.6,4
620,,112,61,37.7,4
621,,112,,,4
622,,112,,,4
623,,112,,,4
624,,112,,,4
625,,112,,,4
626,,112,,,4
627,,112,,,4
628,,112,,,4
629,,112,,,4
630,,112,,,4
631,,112,,,4
632,,112,,,4
633,,112,,,4
634,,112,,,4
635,,112,,,4
636,,112,,,4
637,,112,,,4
638,,112,,,4
639,,112,,,4
640,,112,,,4
641,,112,,,4
642,,112,,,4
643,,112,,,4
644,,112,,,4
645,,112,,,4
646,,112,,,4
647,,112,,,4
649,,112,,,4
650,,112,,,4
651,,112,,,4
652,,112,,,4
653,,112,,,4
654,,112,,,4
655,,112,,,4
656,,112,,,4
657,,112,,,4
658,,112,,,4
659,,112,,,4
660,,112,,,4
661,,112,,,4
662,,112,,,4
663,,112,,,4
664,,112,,,4
665,,112,,,4
666,,112,,,4
667,,112,,,4
668,,112,,,4
669,,112,,,4
670,,112,,,4
671,,112,,,4
672,,112,,,4
673,,112,,,4
674,,112,,,4
675,,112,,,4
676,,112,"59, 65",fig. 41.2 p. 65.,4
677,,112,"59, 65",fig. 41.2 p. 65.,4
678,,112,59,,4
679,,112,59,,4
680,,112,59-62,"fig. 42, 2",4
681,,112,59-62,"Fig. 42, 1",4
682,,112,59-62,"Fig. 42, 1",4
683,,112,,,4
684,,112,,,4
685,,112,,,4
686,,112,,,4
687,,112,,,4
688,,112,,,4
689,,112,,,4
690,,112,,,4
691,,112,,,4
692,,112,,,4
693,,112,,,4
694,,112,,,4
695,,112,73,50,4
696,,112,73,50,4
697,,112,,,4
698,,112,,,4
699,,112,,,4
700,,112,,,4
701,,112,,,4
702,,112,,,4
703,,112,,,4
704,,112,,,4
705,,112,,,4
708,,112,,"22,4",4
709,,112,,"22,8",4
710,,112,,"22,6",4
711,,112,,,4
712,,112,,"22,1",4
713,,112,,"22,2",4
714,,112,,"22,7",4
611,,113,155-161,,4
612,,113,155-161,,4
613,,113,155-161,,4
614,,113,155-161,,4
615,,113,155-161,,4
616,,113,155-161,,4
617,,113,155-161,,4
618,,113,155-161,,4
619,,113,155-161,,4
620,,113,155-161,,4
621,,113,155-161,,4
622,,113,155-161,,4
623,,113,155-161,,4
624,,113,155-161,,4
625,,113,155-161,,4
626,,113,155-161,,4
627,,113,155-161,,4
628,,113,155-161,,4
629,,113,155-161,,4
630,,113,155-161,,4
631,,113,155-161,,4
632,,113,155-161,,4
633,,113,155-161,,4
634,,113,155-161,,4
635,,113,155-161,,4
636,,113,155-161,,4
637,,113,155-161,,4
638,,113,155-161,,4
639,,113,155-161,,4
640,,113,155-161,,4
641,,113,155-161,,4
642,,113,155-161,,4
643,,113,155-161,,4
644,,113,155-161,,4
645,,113,155-161,,4
646,,113,155-161,,4
647,,113,155-161,,4
648,,113,155-161,,4
649,,113,155-161,,4
650,,113,155-161,,4
651,,113,155-161,,4
652,,113,155-161,,4
653,,113,155-161,,4
654,,113,155-161,,4
655,,113,155-161,,4
658,,113,155-161,,4
659,,113,155-161,,4
660,,113,155-161,,4
661,,113,155-161,,4
662,,113,155-161,,4
663,,113,155-161,,4
664,,113,155-161,,4
665,,113,155-161,,4
666,,113,155-161,,4
667,,113,155-161,,4
668,,113,155-161,,4
669,,113,155-161,,4
670,,113,155-161,,4
671,,113,155-161,,4
672,,113,155-161,,4
673,,113,155-161,,4
674,,113,155-161,,4
675,,113,155-161,,4
676,,113,155-161,,4
677,,113,155-161,,4
678,,113,155-161,,4
679,,113,155-161,,4
680,,113,155-161,,4
681,,113,155-161,,4
682,,113,155-161,,4
683,,113,155-161,,4
684,,113,155-161,,4
685,,113,155-161,,4
686,,113,155-161,,4
687,,113,155-161,,4
708,,113,155-161,,4
709,,113,155-161,,4
710,,113,155-161,,4
711,,113,155-161,,4
712,,113,155-161,,4
713,,113,155-161,,4
714,,113,155-161,,4
621,,114,,"tav. XXIX, 6",4
622,,114,,"tav. LVII, 9",4
623,,114,,"tav. LVII, 12",4
624,,114,,"tav. LVII, 10",4
625,,114,25-114,,4
626,,114,,"LVII, 11",4
627,,114,,"tav. LVII, 7",4
628,,114,,"LVII, 14",4
629,,114,84,,4
630,,114,,"tav. LVII, 2",4
631,,114,,"tav. LVII, 1",4
632,,114,,"tav. LVII, 5",4
633,,114,,"tav. LVII, 3",4
636,,114,,"tav. LVII, 4",4
637,,114,,"tav. LVI, 4",4
638,,114,,"tav. LVII, 8",4
639,,114,,"tav. LVIII, 1-2",4
640,,114,,"tav. LV, 8",4
641,,114,,"tav. LV, 10",4
642,,114,86,,4
643,,114,86,,4
644,,114,,"tav. LV, 7",4
645,,114,,,4
646,,114,,"tav. XLVI, 2",4
648,,114,,"tav. LVI, 2",4
649,,114,,"tav. LVI, 1",4
650,,114,,"tav. LVI, 5",4
651,,114,,"tav. LVII, 6",4
652,,114,,"tav. LVIII, 3",4
653,,114,,"tav. LVI, 3",4
654,,114,,"tav. XLIV, 3",4
655,,114,,"tav. XLIV, 1",4
656,,114,,"tav. LII, 2",4
657,,114,91,,4
658,,114,,"tav. XXXVIII, 4",4
659,,114,,"tav. XLII, 10.",4
660,,114,,"tav. LV, 4",4
661,,114,,"tav. XL, 4",4
662,,114,,"tav. XLVI, 2.",4
663,,114,,"tav. LI, 5.",4
664,,114,,"tav. LV, 11",4
665,,114,,tav. XLV,4
666,,114,,"tav. XLVI, 1",4
667,,114,,"tav. XLVII, 1",4
668,,114,,"tav. XXVIII, 2",4
669,,114,,"tav. XL, 2",4
670,,114,,"tav. XXX, 5",4
671,,114,,"tav. XLII, 1",4
672,,114,,"tav. XLII, 3",4
673,,114,,"tav. XLII, 6",4
674,,114,,"tav. XXXVIII, 3",4
675,,114,,"tav. L, 1",4
640,,115,165, 6.29,4
641,,115,165, 6.28,4
642,,115,165, 6.30,4
643,,115,165, 6.27,4
644,,115,,,4
645,,115,165, 6.26,4
676,,116,373,23.3,4
677,,116,373,23.3,4
678,,116,373,23.3,4
679,,116,373,23.3,4
680,,116,373,23.3,4
681,,116,373,23.2,4
686,,116,374,23.6,4
687,,116,373,23.5,4
688,,116,373,23.7,4
706,,117,433-498,,4
707,,117,433-498,,4
715,,118,298,,4
716,,118,298,,4
717,,118,298,,4
2,3,,80,37,4
3,3,,86,46,4
4,3,,87,55,4
8,3,,80,40,4
9,3,,86,48,4
133,3,,,,4
134,3,,87,57,4
139,3,,86,49,4
140,3,,86,50,4
178,3,,99,88,4
179,3,,99,89,4
180,3,,,,4
181,3,,,,4
182,3,,,,4
183,3,,,,4
273,3,,109,99,4
17,16,,,,4
18,16,,112,"2,1",4
19,16,,,,4
20,16,,113,"3,6",4
21,16,,,,4
22,16,,,,4
23,16,,,,4
24,16,,,,4
25,16,,,,4
26,16,,,,4
27,16,,,,4
28,16,,,,4
29,16,,,,4
30,16,,,,4
31,16,,,,4
32,16,,,,4
718,16,,,,4
599,,,,tav. 33,4
