scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
82,,11,,69,,p. 76,Tav. VI e VIII.9.2j,4
82,,18,,83,,"p. 287, 274",,4
85,,11,,68,,p. 65,Tav. II e IV.9.1g,4
85,,18,,83,,"p. 264, 33",,4
86,,11,,68,,p. 65,Tav. II e IV.9.1h,4
86,,18,,83,,"p. 265, 42",,4
87,,11,,68,,pp. 65-66,Tav. II e IV.9.1i,4
87,,18,,83,,"p. 267, 58",,4
88,,11,,68,,p. 64,Tav. II e IV.9.1f,4
88,,18,,83,,"p. 271, 96",,4
89,,11,,68,,pp. 63-64,Tav. III e I.9.1d,4
89,,18,,83,,"p. 261, 8",,4
90,,,161,,,p. 173,29.8,4
90,,,173,32,,pp. 504-505,,4
91,,11,,68,,p. 64,Tav. III e I.9.1e,4
91,,18,,83,,"p. 262, 19",,4
92,,11,,68,,p. 63,Tav. III e I.9.1b,4
92,,18,,83,,"p. 267, 60",,4
93,,11,,68,,p. 66,Tav. III e I.9.1j,4
93,,18,,83,,"p. 275, 129",,4
94,,11,,68,,p. 66,Tav. III e I.9.1k,4
94,,18,,83,,"p. 276, 132",,4
95,,,161,,,p. 207,48.2,4
95,,11,,67,,p. 138,Tav. XXII.13.5l,4
96,,11,,64,,pp. 483-484,TAV. CX.37.8.x,4
96,,5,,44,,p. 263,52.23.00,4
97,,,178,,,p. 217,F-11,4
97,,11,,66,,p. 352,Tav. LXII-LXIX.30.13t,4
98,,,173,33,,pp. 501-502,,4
98,,11,,66,,pp. 325-328,,4
99,,,173,52,,p. 300 cat. 240,,4
102,,11,,68,,p. 63,Tav. III e I.9.1a,4
102,,18,,83,,"p. 277, 140",,4
103,,11,,68,,p. 76,Tav. VI e VIII.9.1k,4
103,,18,,83,,"p. 281, 200",,4
104,,11,,69,,pp. 74-75,Tav. VI e VIII.9.2f,4
104,,18,,83,,"p. 282, 207",,4
105,,11,,69,,p. 74,Tav. V e VII.9.2e,4
105,,18,,83,,"p. 282, 209",,4
106,,11,,69,,p. 75,Tav. VI e VIII.9.2h,4
106,,18,,83,,"p. 282, 213",,4
107,,11,,69,,p. 73,Tav. V e VII.9.2b,4
107,,18,,83,,"p. 283, 223",,4
108,,11,,69,,p. 73,Tav. V e VII.9.2a,4
108,,18,,83,,"p. 283, 224",,4
109,,11,,69,,p. 75,Tav. VI e VIII.9.2g,4
109,,18,,83,,"p. 284, 240",,4
110,,11,,69,,p. 74,Tav. V e VII.9.2d,4
110,,18,,83,,"p. 285, 250",,4
111,,11,,69,,pp. 75-76,Tav. VI e VIII.9.2i,4
111,,18,,83,,"p. 287, 275",,4
112,,8,,46,,pp. 854-855,,4
113,,8,,46,,pp. 854-855,,4
114,,8,,46,,pp. 854-855,,4
115,,8,,46,,pp. 854-855,,4
116,,,173,33,,pp. 501-502,,4
116,,11,,66,,pp. 325-328,,4
117,,8,,46,,pp. 854-855,,4
118,,8,,46,,pp. 854-855,,4
119,,8,,46,,pp. 854-855,,4
123,,,56,,97,p. 343,fig. 286,4
123,,,161,,,p. 195,37.18,4
125,,2,,,,p. 109,,4
125,,11,,67,,p. 145,Tav. XXIX.13.12c,4
