scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
436,,,173,37,,p. 468,6,4
437,,,173,27,,p. 362,cat. 333,4
437,,,178,,,p. 174,E1-19,4
438,,,173,23,,p. 301,cat. 246,4
439,,,173,12,,pp. 223-224,cat. 156,4
439,,5,,44,,p. 283,,4
440,,,173,21,,p. 301,cat. 244,4
440,,2,,,,p. 105,,4
441,,,178,,,p. 154,D-13,4
441,,5,,44,,p. 262,,4
442,,,178,,,p. 154,D-13,4
442,,5,,44,,p. 262,,4
443,,,161,,,p. 77,4.5,4
443,,,173,17,,p. 299,cat. 235,4
444,,,161,,,p. 173,29.6,4
444,,,173,19,,p. 299-300,cat. 238,4
445,,,161,,,p. 107,9.9,4
445,,,173,25,,p. 339-340,cat. 278,4
446,,,173,6,,p. 340,Tav. LXVI.30.11a,4
446,,5,,44,,p. 256,,4
447,,,161,,,p. 71-74,3.6,4
447,,,173,9,,pp. 220-221,cat. 153,4
448,,,173,10,,pp. 221-222,cat. 154,4
449,,,173,11,,pp. 222,cat. 155,4
452,,7,,45,,403-407,,4
452,,9,,48,,p. 804,,4
453,,7,,45,,403-407,,4
453,,9,,48,,p. 804,,4
454,,7,,45,,403-407,,4
454,,9,,48,,p. 804,,4
455,,7,,45,,403-407,,4
455,,9,,48,,p. 804,,4
456,,11,,67,,p. 133,,4
457,,5,,44,,p. 263,,4
457,,11,,64,,p. 480,TAV. CI.37.8.a,4
458,,,173,7,,p. 215,cat. 146,4
459,,,161,,,pp. 77-80,4.6,4
459,,,173,8,,pp. 216-217,cat. 150,4
460,,3,,41,,p. 291,fig. 331,4
460,,,173,30,,p. 105,cat. 41,4
461,,,173,39,,p. 481,30,4
461,,5,,44,,p. 256,,4
462,,,161,,,p. 107,9.6,4
462,,,173,29,,pp.101-102,cat. 35,4
463,,11,,67,,p. 132,Tav. XXI.13.1.f,4
464,,,173,27,,pp. 365-366,cat. 356,4
464,,,178,,,p. 174,E1-19,4
465,,5,,44,,p. 263,,4
465,,11,,64,,p. 484,,4
466,,5,,44,,p. 263,,4
466,,11,,64,,p. 484,,4
467,,5,,44,,p. 263,,4
467,,11,,64,,p. 484,TAV. CII.37.8aa,4
468,,5,,44,,p. 263,,4
468,,11,,64,,p. 480,TAV. CI.37.8.b,4
469,,5,,44,,p. 263,,4
469,,11,,64,,p. 481,TAV. CI.37.8.c,4
471,,,173,27,,pp. 365-366,cat. 356,4
471,,,178,,,p. 174,E1-19,4
474,,5,,44,,p. 263,,4
474,,11,,64,,p. 481,TAV. CI.37.8.d,4
475,,5,,44,,p. 263,,4
475,,11,,64,,p. 481,TAV. CI.37.8.e,4
476,,5,,44,,p. 263,,4
476,,11,,64,,p. 481,TAV. CI.37.8.f,4
477,,5,,44,,p. 263,,4
477,,11,,64,,p. 481,TAV. CI.37.8.g,4
478,,5,,44,,p. 263,,4
478,,11,,64,,p. 481,TAV. CI.37.8.h,4
479,,5,,44,,p. 263,,4
479,,11,,64,,p. 481,,4
480,,5,,44,,p. 263,,4
480,,11,,64,,p. 481,TAV. CII.37.8.j,4
481,,5,,44,,p. 263,,4
481,,11,,64,,p. 483,Tav. CIX.37.8.r,4
482,,5,,44,,p. 263,,4
482,,11,,64,,p. 483,Tav. CIX.37.8.s,4
483,,5,,44,,p. 263,,4
483,,11,,64,,p. 483,Tav. CIX.37.8.t,4
490,,11,,67,,p. 143,Tav. XXIX.13.9a,4
491,,11,,67,,p. 143,Tav. XXIX.13.9b,4
492,,11,,64,,p.492,Tav. CIV.37.14b,4
493,,11,,64,,p.492,Tav. CIV.37.14c,4
494,,11,,64,,p.493,Tav. CXIV.37.14h,4
495,,,56,,97,p. 343,fig. 286,4
495,,,161,,,p. 195,37.20,4
496,,,56,,97,p. 343,fig. 286,4
496,,,161,,,p. 195,37.21,4
497,,,56,,97,p. 343,fig. 286,4
497,,,161,,,p. 195,37.22,4
498,,,56,,97,p. 343,fig. 286,4
498,,,161,,,p. 195,37.23,4
499,,,56,,97,p. 343,fig. 286,4
499,,,161,,,p. 195,37.24,4
500,,,56,,97,p. 343,fig. 286,4
500,,,161,,,p. 195,37.25,4
501,,,56,,97,p. 343,fig. 286,4
501,,,161,,,p. 195,37.26,4
502,,,56,,97,p. 343,fig. 286,4
502,,,161,,,p. 195,37.27,4
503,,,56,,97,p. 343,fig. 286,4
503,,,161,,,p. 195,37.28,4
504,,,56,,97,p. 343,fig. 286,4
504,,,161,,,p. 195,37.29,4
506,,,56,,97,p. 343,fig. 286,4
506,,,161,,,p. 195,37.30,4
507,,2,,,,p. 109,,4
507,,11,,67,,p. 146,Tav. XXXI.13.13a,4
508,,11,,67,,p. 144,Tav. XXIX.13.12a,4
510,,,173,27,,pp. 365-366,cat. 356,4
510,,,178,,,p. 174,E1-19,4
511,,7,,45,,403-407,,4
511,,9,,48,,p. 804,,4
512,,5,,44,,p. 268,,4
513,,5,,44,,p. 268,,4
515,,13,,72,,p. 467,,4
515,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
516,,,178,,,p. 211,E3-39,4
516,,11,,66,,p. 344,Tav. LXI.30.11bm,4
517,,,173,33,,pp. 501-502,,4
517,,11,,66,,pp. 325-328,,4
518,,,173,33,,pp. 501-502,,4
518,,11,,66,,pp. 325-328,,4
519,,,173,33,,pp. 501-502,,4
519,,11,,66,,pp. 325-328,,4
520,,11,,64,,p. 490,Tav. CXIII.37.13a,4
521,,11,,64,,pp. 490-491,Tav. CXIII.37.13b,4
522,,11,,64,,p. 491,Tav. CXIII.37.13c,4
523,,11,,64,,p. 491,Tav. CXIII.37.13d,4
524,,11,,67,,p. 145,Tav. XXIX.13.12b,4
525,,,161,,,p. 74,3.7,4
525,,,173,13,,p. 282,cat. 189,4
526,,,161,,,p. 71,3.3,4
526,,,173,28,,pp. 365-366,cat. 356,4
527,,,173,31,,pp. 105-106,cat. 42,4
528,,11,,67,,p. 146,Tav. XXXI.13.13b,4
529,,11,,64,,pp. 489-490,Tav. CXII.37.12d,4
530,,,173,35,,pp. 502-503,,4
530,,,178,,,p. 174,E1-19,4
531,,11,,67,,p. 133,,4
532,,11,,67,,p. 133,,4
533,,11,,67,,p. 133,,4
534,,3,,42,,p. 360,fig. 436,4
534,,5,,44,,p. 231,,4
539,,13,,72,,p. 467,,4
539,,11,,63,,pp. 210-211,Tav. XLVIII.17.12e,4
540,,6,,,,p. 30,,4
540,,12,,71,,p. 684,Fig. 709,4
543,,6,,,,p. 29,,4
544,,6,,,,p. 29,,4
545,,6,,,,p. 14 e 23,,4
547,,6,,,,p. 23,,4
548,,,173,40,,p. 477,14,4
548,,5,,44,,p. 173,,4
549,,,173,40,,p. 485,29,4
549,,6,,,,p. 26,,4
550,,,155,3,,pp. 113-114,,4
551,,,155,3,,pp. 113-114,,4
552,,,56,73,,p. 159,fig. 142,4
552,,,173,61,,p. 514 6,,4
553,,,161,,,p. 220,51.33,4
553,,11,,63,,p. 201,Tav. XLI.17.8r,4
554,,11,,67,,p. 143,,4
555,,,161,,,p. 107,9.10,4
555,,,173,56,,p. 343 cat. 296,,4
556,,,161,,,p. 107,9.11,4
556,,,173,57,,p. 343 cat. 297,,4
557,,,173,55,,p. 342 cat. 292,,4
558,,,173,61,,p. 514 1,,4
559,,,173,54,,p. 342 cat. 291,,4
560,,11,,67,,p. 142,Tav. XXXIII.13.9c,4
562,,,173,50,,p. 352,,4
562,,3,,41,,p. 324,fig. 382,4
563,,,173,33,,pp. 501-502,,4
563,,11,,66,,pp. 325-328,,4
564,,11,,67,,p. 144,Tav. XXXIV.13.11b,4
565,,,173,33,,pp. 501-502,,4
565,,11,,66,,pp. 325-328,,4
566,,11,,64,,p.494,37.14n,4
567,,,56,,97,p. 343,fig. 286,4
567,,,161,,,p. 192,37.11,4
568,,2,,,,p. 101,,4
569,,,173,33,,pp. 501-502,,4
569,,11,,66,,pp. 325-328,,4
570,,,173,33,,pp. 501-502,,4
570,,11,,66,,pp. 325-328,,4
571,,,173,35,,p. 456 13,,4
571,,,178,,,p. 174,E1-19,4
572,,,173,35,,p. 456 14,,4
572,,,178,,,p. 174,E1-19,4
573,,,161,,,p. 209,48.15,4
573,,11,,67,,p. 138,Tav. XXII.13.5k,4
574,,11,,65,,p. 320,,4
575,,20,,86,,pp. 88-89,,4
576,,,173,39,,pp. 476-481,,4
576,,5,,44,,pp. 256-257,,4
577,,,173,35,,p. 456 3,,4
577,,,178,,,p. 174,E1-19,4
578,,,173,58,,p. 357 cat. 321,,4
579,,,173,34,,pp. 502-503,,4
579,,,178,,,p. 210,E3-37,4
580,,,161,,,p. 205,47.4,4
580,,11,,67,,p. 133,Tav. XXVIII.13.2a,4
581,,,161,,,p. 217,51.20,4
581,,11,,63,,p. 201,Tav. XLVII.17.8t,4
582,,,161,,,p. 217,51.21,4
582,,11,,63,,p. 199,Tav. XLVII.17.8f,4
583,,,178,,,p. 211,E3-39,4
583,,11,,66,,p. 344,Tav. LXII.30.11bj,4
584,,,178,,,p. 211,E3-39,4
584,,11,,66,,pp. 344,Tav. LXII.30.11bj,4
585,,,173,59,,p. 357 cat. 322,,4
586,,11,,64,,p.493,Tav. CXIV.37.14i,4
587,,,161,,,p. 217,51.22,4
587,,11,,63,,p. 199,Tav. XLVII.17.8g,4
588,,,173,39,,pp. 476-481,,4
588,,5,,44,,pp. 256-257,,4
589,,,178,,,p. 211,E3-39,4
589,,11,,66,,p. 344,Tav. LXII.30.11bk,4
590,,,178,,,p. 211,,4
590,,11,,66,,p. 344,Tav. LX.30.11be,4
591,,11,,70,,p. 96,Tav.XII.10.1W,4
592,,,173,33,,pp. 501-502,,4
592,,11,,66,,pp. 325-328,,4
593,,,173,33,,pp. 501-502,,4
593,,11,,66,,pp. 325-328,,4
594,,11,,67,,p. 151,Tav. XXV.13.18c,4
597,,,173,33,,pp. 501-502,,4
597,,11,,66,,pp. 325-328,,4
598,,,56,,97,p. 336,fig. 274,4
598,,,166,,94,p. 127-128,,4
599,,,56,,97,p. 344,,4
599,,,166,,94,p. 127-128,,4
600,,,166,,94,p. 127-128,,4
601,,,166,,94,p. 127-128,,4
604,,,56,73,,p. 170,figg. 158 e 160,4
604,,10,,49,,pp. 376-377,,4
605,,,161,,,p. 217,51.26,4
605,,11,,63,,pp. 199-200,Tav. XLVI.17.8k,4
606,,,161,,,p. 217,51.29,4
606,,11,,63,,p. 200,Tav. XLVII.17.8n,4
607,,,161,,,p. 217,51.25,4
607,,11,,63,,p. 199,Tav. XLVI.17.8j,4
608,,,161,,,p. 217,51.24,4
608,,11,,63,,p. 199,Tav. XLVI.17.8i,4
609,,,56,73,,p. 170,fig. 158,4
609,,10,,49,,pp. 376-377,,4
610,,,161,,,p. 217,51.23,4
610,,11,,63,,p. 199,Tav. XLVI.17.8h,4
611,,,161,,,p. 217,51.31,4
611,,11,,63,,p. 200,Tav. XLVII.17.8p,4
612,,,161,,,p. 217,51.30,4
612,,11,,63,,p. 200,Tav. XLVII.17.8o,4
613,,,56,73,,p. 170,fig. 158,4
613,,10,,49,,pp. 376-377,,4
614,,,161,,,p. 220,51.32,4
614,,11,,63,,p. 200,Tav. XLVII.17.8q,4
615,,,161,,,p. 217,51.27,4
615,,11,,63,,pp. 198-199,Tav. XL.17.8d,4
616,,,161,,,p. 217,51.28,4
616,,11,,63,,p. 200,Tav. XLVII.17.8m,4
617,,,161,,,pp. 222-223,54.15,4
618,,,161,,,p. 222,54.14,4
619,,,161,,,pp. 223,54.16,4
620,,,161,,,p. 223,54.17,4
621,,,161,,,p. 222,54.9,4
622,,,161,,,p. 222,54.12,4
623,,,161,,,p. 222,54.13,4
624,,,161,,,p. 222,54.10,4
625,,,161,,,p. 222,54.11,4
626,,,56,73,,p. 170,figg. 158 e 159,4
626,,10,,49,,pp. 376-377,,4
627,,,56,73,,p. 170,fig. 158,4
627,,10,,49,,pp. 376-377,,4
630,,,161,,,p. 199,38.21,4
630,,5,,44,,p. 141,Abb. 159,4
631,,,161,,,p. 199,38.22,4
631,,5,,44,,p. 236,Abb. 291,4
632,,,161,,,p. 199,38.19,4
632,,5,,44,,p. 141,Abb. 158,4
633,,,161,,,p. 199,38.30,4
633,,5,,44,,p. 142,Abb. 162-164,4
635,,,56,1,,p. 296,fig. 299,4
636,,,56,1,,p. 296,fig. 299,4
637,,,56,1,,p. 296,fig. 299,4
639,,,161,,,p. 196,38.12,4
640,,,161,,,p. 196,38.13,4
644,,,161,,,p. 175,29.21,4
647,,,161,,,p. 196,38.14,4
652,,,161,,,p. 74,3.12,4
653,,,161,,,p. 175,29.16,4
654,,,161,,,p. 175,29.16,4
656,,,161,,,p. 109,9.30,4
657,,,161,,,p. 109,9.30,4
658,,,161,,,p. 109,9.30,4
659,,,161,,,p. 109,9.30,4
660,,,161,,,p. 109,9.30,4
661,,,161,,,p. 109,9.30,4
662,,,161,,,p. 109,9.30,4
663,,,161,,,p. 109,9.30,4
666,,,161,,,p. 199,38.29,4
667,,,161,,,p. 199,38.26,4
668,,,161,,,p. 199,38.25,4
669,,,161,,,p. 199,38.20,4
670,,,161,,,p. 199,38.24,4
671,,,161,,,p. 199,38.23,4
672,,,161,,,p. 199,38.28,4
676,,,161,,,p. 109,9.30,4
677,,,161,,,p. 109,9.30,4
678,,,161,,,p. 109,9.30,4
679,,,161,,,p. 109,9.30,4
680,,,161,,,p. 109,9.30,4
681,,,161,,,p. 109,9.30,4
682,,,161,,,p. 109,9.30,4
683,,,161,,,p. 109,9.24,4
685,,,161,,,p. 203,42.3,4
736,,,161,,,p. 111,9.36,4
737,,,161,,,p. 111,9.35,4
754,,,161,,,p. 109,9.30,4
755,,,161,,,p. 109,9.30,4
756,,,161,,,p. 109,9.30,4
757,,,161,,,p. 109,9.30,4
758,,,161,,,p. 109,9.30,4
759,,,161,,,p. 109,9.30,4
760,,,161,,,p. 109,9.30,4
761,,,161,,,p. 109,9.32,4
762,,,161,,,p. 109,9.32,4
763,,,161,,,p. 109,9.32,4
764,,,161,,,p. 109,9.32,4
765,,,161,,,p. 109,9.32,4
766,,,161,,,p. 109,9.32,4
767,,,161,,,p. 109,9.32,4
768,,,161,,,p. 109,9.32,4
769,,,161,,,p. 109,9.32,4
770,,,161,,,p. 109,9.32,4
771,,,161,,,p. 109,9.32,4
772,,,161,,,p. 109,9.32,4
773,,,161,,,p. 109,9.32,4
774,,,161,,,p. 109,9.32,4
775,,,161,,,p. 109,9.32,4
776,,,161,,,p. 109,9.32,4
777,,,161,,,p. 109,9.32,4
778,,,161,,,p. 109,9.32,4
791,,,161,,,p. 109,9.32,4
792,,,161,,,p. 109,9.32,4
798,,,161,,,p. 111,9.34,4
799,,,161,,,p. 74,3.16,4
800,,,161,,,p. 74,3.18,4
801,,,161,,,p. 74,3.17,4
803,,,161,,,p. 109,9.27,4
805,,,161,,,p. 196,38.5,4
810,,,161,,,p. 109,9.32,4
811,,,161,,,p. 109,9.32,4
812,,,161,,,p. 109,9.32,4
813,,,161,,,p. 109,9.32,4
814,,,161,,,p. 109,9.32,4
815,,,161,,,p. 109,9.32,4
816,,,161,,,p. 109,9.32,4
817,,,161,,,p. 109,9.32,4
818,,,161,,,p. 109,9.32,4
819,,,161,,,p. 109,9.32,4
820,,,161,,,p. 109,9.32,4
821,,,161,,,p. 109,9.32,4
822,,,161,,,p. 109,9.32,4
823,,,161,,,p. 109,9.32,4
824,,,161,,,p. 109,9.32,4
825,,,161,,,p. 109,9.32,4
826,,,161,,,p. 109,9.32,4
827,,,161,,,p. 109,9.32,4
828,,,161,,,p. 109,9.32,4
829,,,161,,,p. 109,9.32,4
830,,,161,,,p. 109,9.32,4
831,,,161,,,p. 109,9.32,4
832,,,161,,,pp. 196-197,38.17,4
1006,,,161,,,p. 192,37.14,4
1008,,,161,,,p. 88,5.18,4
1052,,,161,,,p. 74,3.13,4
1053,,,161,,,p. 176,,4
1055,,,161,,,p. 215,51.10,4
1059,,,161,,,p. 173,29.3,4
1064,,,161,,,p. 175,29.20,4
1069,,,161,,,p. 109,9.16,4
1075,,,161,,,p. 109,9.16,4
1124,,,161,,,p. 109,9.16,4
1125,,,161,,,p. 109,9.16,4
1126,,,161,,,p. 109,9.15,4
1127,,,161,,,p. 173,29.9,4
1132,,,161,,,p. 173,29.9,4
1140,,,161,,,p. 173,29.9,4
1142,,,161,,,p. 109,9.23,4
1143,,,161,,,p. 109,9.23,4
1144,,,161,,,p. 109,9.23,4
1145,,,161,,,p. 74,3.10,4
1146,,,161,,,p. 74,3.10,4
1147,,,161,,,p. 74,3.10,4
1148,,,161,,,p. 74,3.10,4
1149,,,161,,,p. 74,3.10,4
1180,,,161,,,p. 109,9.14,4
1181,,,161,,,p. 207,48.10,4
1203,,,161,,,p. 74,3.10,4
1204,,,161,,,p. 192,37.12,4
1205,,,161,,,p. 80,4.7,4
1207,,,161,,,p. 80,4.7,4
1209,,,161,,,p. 113-115,9.54,4
1222,,,161,,,p. 217,51.18,4
1223,,,161,,,p. 217,51.19,4
1225,,,161,,,p. 80,4.7,4
1226,,,161,,,p. 80,4.7,4
1227,,,161,,,p. 195,37.19,4
1236,,,161,,,p. 109,9.28,4
1237,,,161,,,p. 74,3.14,4
1238,,,161,,,p. 74,3.14,4
1239,,,161,,,p. 80,4.7,4
1240,,,161,,,p. 175,29.17,4
1241,,,161,,,p. 175,29.17,4
1242,,,161,,,p. 175,29.17,4
1243,,,161,,,p. 111,9.39,4
1248,,,161,,,p. 173,29.4,4
1308,,,161,,,p. 80,4.7,4
1311,,,161,,,p. 115,9.55,4
1315,,,161,,,p. 111,9.37,4
1316,,,161,,,p. 175,29.22,4
1403,,,161,,,p. 80,4.7,4
1404,,,161,,,p. 80,4.7,4
1405,,,161,,,p. 80,4.7,4
1406,,,161,,,p. 80,4.7,4
1407,,,161,,,p. 80,4.7,4
1408,,,161,,,p. 80,4.7,4
1409,,,161,,,p. 80,4.7,4
1410,,,161,,,p. 80,4.7,4
1411,,,161,,,p. 80,4.7,4
1412,,,161,,,p. 80,4.7,4
1413,,,161,,,p. 80,4.7,4
1414,,,161,,,p. 80,4.7,4
1415,,,161,,,p. 80,4.7,4
1416,,,161,,,p. 80,4.7,4
1418,,,161,,,p. 207,48.9,4
1426,,,161,,,p. 196,30.9,4
1431,,,161,,,p. 115,9.57,4
1433,,,161,,,p. 196,38.10,4
1468,,,161,,,p. 111,9.41,4
1475,,,161,,,p. 74,3.19,4
1476,,,161,,,p. 201,39.2,4
1478,,,161,,,p. 192,37.10,4
1484,,,161,,,p. 175,29.23,4
1506,,,161,,,p. 88,5.17,4
1509,,,161,,,p. 115,9.56,4
1516,,,161,,,p. 109-111,9.33,4
1517,,,161,,,p. 74,3.15,4
1518,,,161,,,p. 88,5.15,4
1519,,,161,,,p. 175,29.18,4
1520,,,161,,,p. 175,29.19,4
1537,,,161,,,p. 196,38.8,4
1538,,,161,,,p. 196,38.7,4
1552,,,161,,,p. 212,50.7,4
1555,,,161,,,p. 184,32.10,4
1556,,,161,,,p. 184,32.11,4
1557,,,161,,,p. 184,32.13b,4
1560,,,161,,,p. 184,32.12,4
1567,,,161,,,p. 80,4.7,4
1570,,,161,,,p. 80,4.7,4
1571,,,161,,,p. 184,32.13c,4
1617,,,161,,,p. 109,9.22,4
1624,,,161,,,p. 77,4.2,4
1626,,,161,,,p. 107,9.12,4
1631,,,161,,,p. 71,3.5,4
1637,,,161,,,p. 173,29,4
1638,,,161,,,p. 173,29,4
1661,,,161,,,p. 77,4.3,4
1662,,,161,,,p. 77,4.4,4
1663,,,161,,,p. 77,4.4,4
1679,,,161,,,p. 62,1.6,4
1684,,,161,,,p. 207,48.11,4
1690,,,161,,,p. 88,5.16,4
1703,,,161,,,p. 109,9.28,4
1783,,,161,,,p. 101,8.30,4
1784,,,161,,,p. 101,8.31,4
1785,,,161,,,p. 101,8.33,4
1807,,,161,,,p. 207,48.7,4
1813,,,56,1,,p. 296,fig. 299,4
1819,,,161,,,p. 209,48.14,4
1823,,,161,,,p. 175,29.15,4
1824,,,161,,,p. 209,48.13,4
1832,,,161,,,p. 196,38.4,4
1833,,,161,,,p. 196,38.4,4
1834,,,161,,,p. 196,38.4,4
1835,,,161,,,p. 196,38.4,4
1836,,,161,,,p. 196,38.4,4
1848,,,161,,,p. 111,9.45,4
1849,,,161,,,p. 111,9.44,4
1850,,,161,,,p. 111,9.43,4
1851,,,161,,,p. 111,9.42,4
1852,,,161,,,p. 74,3.20,4
1853,,,161,,,p. 74,3.21,4
1854,,,161,,,p. 76,3.22,4
1855,,,161,,,p. 76,3.23,4
1856,,,161,,,p. 76,3.24,4
1858,,,161,,,p. 195,37.15,4
1859,,,161,,,p. 76,3.25,4
1860,,,161,,,p. 76,3.26,4
1861,,,161,,,p. 76,3.27,4
1862,,,161,,,p. 76,3.28,4
1863,,,161,,,p. 77,3.40,4
1864,,,161,,,p. 76,3.29,4
1865,,,161,,,p. 76,3.30,4
1866,,,161,,,p. 76,3.31,4
1867,,,161,,,p. 76,3.32,4
1868,,,161,,,p. 76,3.33,4
1869,,,161,,,p. 76,3.34,4
1870,,,161,,,p. 76,3.35,4
1884,,,161,,,pp. 76-77,3.36,4
1905,,,161,,,p. 77,3.37,4
1906,,,161,,,p. 77,3.38,4
1907,,,161,,,p. 77,3.39,4
1908,,,161,,,p. 88,5.18,4
1909,,,161,,,p. 88,5.19,4
1910,,,161,,,p. 88,5.22,4
1911,,,161,,,p. 175,29.24,4
1912,,,161,,,p. 175,29.25,4
1913,,,161,,,p. 175,29.26,4
1914,,,161,,,p. 175,29.27,4
1916,,,161,,,p. 175,29.28,4
1917,,,161,,,p. 80,4.7,4
1918,,,161,,,p. 176,29.29,4
1924,,,161,,,p. 195,37.16,4
1925,,,161,,,p. 80,4.7,4
1927,,,161,,,p. 176,29.30,4
1930,,,161,,,p. 176,29.31,4
1931,,,161,,,p. 176,29.32,4
1932,,,161,,,p. 176,29.33,4
1933,,,161,,,p. 176,29.34,4
1934,,,161,,,p. 176,29.35,4
1935,,,161,,,p. 176,29.36,4
1936,,,161,,,p. 176,29.37,4
1937,,,161,,,p. 176,29.38,4
1938,,,161,,,p. 176,29.39,4
1939,,,161,,,p. 176,29.40,4
1943,,,161,,,p. 176,29.41,4
1944,,,161,,,p. 176,29.42,4
1945,,,161,,,p. 176,29.43,4
1946,,,161,,,p. 176,29.44,4
1947,,,161,,,p. 196,38.2,4
1949,,,161,,,p. 176,29.45,4
1950,,,161,,,p. 176,29.46,4
1956,,,56,1,,p. 282,fig. 200,4
1956,,5,,44,,p. 230,Abb. 268,4
1957,,,178,,,p. 154,D-13,4
1957,,5,,44,,p. 261,46.5,4
1958,,,178,,,p. 154,D-13,4
1958,,5,,44,,p. 230,Abb. 269,4
1959,,,178,,,p. 154,D-12,4
1959,,5,,44,,p. 124,Abb. 98,4
1960,,,178,,,p. 154,D-13,4
1960,,5,,44,,p. 261,46.3,4
1961,,,178,,,p. 154,D-13,4
1961,,5,,44,,p. 122,Abb. 92,4
1962,,,178,,,p. 154,D-13,4
1962,,5,,44,,p. 261,46.4,4
1963,,,161,,,p. 82,4.19,4
1963,,,173,37,,p. 471 16,,4
1964,,,161,,,p. 82,4.20,4
1964,,,173,37,,p. 471 17,,4
1965,,,161,,,p. 82,4.22,4
1965,,,173,37,,p. 471 19,,4
1966,,,161,,,p. 80,4.14,4
1966,,,173,37,,pp. 469-470 11,,4
1967,,,161,,,p. 82,4.18,4
1967,,5,,44,,p. 225,Abb. 254,4
1968,,,161,,,p. 82,4.21,4
1968,,5,,44,,p. 222,Abb. 247,4
1969,,,161,,,pp. 82-85,4.23,4
1969,,,173,37,,p. 472 20,,4
1970,,,161,,,p. 80,4.13,4
1970,,,173,37,,p. 469 10,,4
1971,,,161,,,p. 80,4.12,4
1971,,,173,37,,p. 469 9,,4
1972,,,161,,,pp. 85,4.24,4
1972,,5,,44,,p. 133,Abb. 133,4
1973,,,161,,,p. 82,4.17,4
1973,,,173,37,,p. 470 14,,4
1974,,,161,,,pp.80- 82,4.15,4
1974,,,173,37,,p. 470 12,,4
1975,,11,,67,,p. 146,Tav. XXIV.13.13e,4
1976,,11,,67,,p. 145,Tav. XXIII.13.12d,4
1977,,,161,,,p. 109,9.13,4
1977,,,173,53,,p. 306 cat. 264,,4
1978,,,161,,,p. 74,3.8,4
1978,,,173,36,,p. 465 13,,4
1979,,9,,48,,p. 804,,4
1979,,7,,45,,pp. 403-407,,4
1980,,9,,48,,p. 804,,4
1980,,7,,45,,pp. 403-407,,4
1981,,,161,,,p. 82,4.16,4
1981,,,173,37,,p. 470 13,,4
1982,,,173,34,,pp. 502-503,,4
1982,,3,,41,,p. 323,fig. 381,4
1983,,,173,34,,pp. 502-503,,4
1983,,3,,41,,p. 323,fig. 381,4
1984,,5,,44,,p. 268,77.8,4
1985,,,178,,,p. 154,D-13,4
1985,,5,,44,,p. 262,46.34.00,4
1986,,,161,,,p. 80,4.7,4
1986,,,173,37,,p. 469 8,,4
1987,,,173,35,,p. 456 10,,4
1987,,,178,,,p. 174,E1-19,4
1988,,,173,35,,p. 456 10,,4
1988,,,178,,,p. 174,E1-19,4
1989,,,173,35,,p. 456 10,,4
1989,,,178,,,p. 174,E1-19,4
1990,,,173,35,,p. 456 10,,4
1990,,,178,,,p. 174,E1-19,4
1991,,,173,35,,p. 456 10,,4
1991,,,178,,,p. 174,E1-19,4
1992,,,173,35,,p. 456 10,,4
1992,,,178,,,p. 174,E1-19,4
1993,,,173,35,,p. 456 10,,4
1993,,,178,,,p. 174,E1-19,4
1994,,,173,35,,p. 456 10,,4
1994,,,178,,,p. 174,E1-19,4
1995,,,173,35,,p. 456 10,,4
1995,,,178,,,p. 174,E1-19,4
1996,,,173,35,,p. 456 10,,4
1996,,,178,,,p. 174,E1-19,4
1997,,,173,35,,p. 456 10,,4
1997,,,178,,,p. 174,E1-19,4
1998,,,173,35,,p. 456 10,,4
1998,,,178,,,p. 174,E1-19,4
1999,,,173,34,,pp. 502-503,,4
1999,,,178,,,p. 210,E3-37,4
2000,,,173,34,,pp. 502-503,,4
2000,,,178,,,p. 210,E3-37,4
2001,,,173,34,,pp. 502-503,,4
2001,,,178,,,p. 210,E3-37,4
2002,,,178,,,p. 211,E3-39,4
2002,,11,,66,,p. 344,Tav. LXI.30.11bi,4
2003,,,173,33,,pp. 501-502,,4
2003,,11,,66,,pp. 325-328,,4
2004,,,173,33,,pp. 501-502,,4
2004,,11,,66,,pp. 325-328,,4
2005,,,173,33,,pp. 501-502,,4
2005,,11,,66,,pp. 325-328,,4
2006,,,173,33,,pp. 501-502,,4
2006,,11,,66,,pp. 325-328,,4
2007,,,161,,,p. 203,,4
2007,,1,,2,,p. 295,fig. 146,4
2008,,,173,33,,pp. 501-502,,4
2008,,11,,66,,pp. 325-328,,4
2009,,,173,33,,pp. 501-502,,4
2009,,11,,66,,pp. 325-328,,4
2010,,,173,33,,pp. 501-502,,4
2010,,11,,66,,pp. 325-328,,4
2011,,11,,64,,p.494,Tav. CXVII.37.14q,4
2012,,,174,81,,p. 109,,4
2013,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
2013,,13,,72,,p. 467,,4
2014,,20,,86,,pp. 88-89,,4
2015,,,173,27,,pp. 365-366 cat. 356,,4
2015,,,178,,,p. 174,E1-19,4
2016,,,161,,,p. 80,4.10,4
2016,,,173,37,,p. 472 22,,4
2017,,,161,,,p. 80,4.11,4
2017,,,173,37,,p. 472 23,,4
2018,,,173,35,,p. 457 18,,4
2018,,,178,,,p. 174,E1-19,4
2019,,,173,35,,p. 457 19,,4
2019,,,178,,,p. 174,E1-19,4
2020,,,173,35,,p. 457 20,,4
2020,,,178,,,p. 174,E1-19,4
2021,,,173,35,,p. 457 21,,4
