id_temp,scheda,materia,tecnica
247,,186,Tecnica non presente in lista
248,,186,Tecnica non presente in lista
249,,186,Tecnica non presente in lista
250,,186,Tecnica non presente in lista
251,,186,Tecnica non presente in lista
252,,186,Tecnica non presente in lista
253,,186,Tecnica non presente in lista
254,,26,a intaglio
255,,26,a intaglio
256,,26,a intaglio
257,,26,a intaglio
258,,272,a stampo
259,,272,a stampo
260,,272,a stampo
261,,272,a stampo
262,,272,a stampo
263,,272,a stampo
264,,272,a stampo
265,,272,a stampo
266,,186,Tecnica non presente in lista
267,,186,Tecnica non presente in lista
268,,186,Tecnica non presente in lista
269,,186,Tecnica non presente in lista
270,,186,Tecnica non presente in lista
271,,186,Tecnica non presente in lista
272,,186,Tecnica non presente in lista
273,,186,Tecnica non presente in lista
274,,186,a intaglio
275,,186,Tecnica non presente in lista
276,,186,Tecnica non presente in lista
277,,186,Tecnica non presente in lista
278,,25,a matrice
279,,25,a mano
280,,26,a intaglio
281,,186,a intaglio
282,,186,a intaglio
283,,186,a intaglio
284,,186,a intaglio
285,,186,a intaglio
286,,186,a intaglio
287,,186,a intaglio
288,,186,a intaglio
289,,186,a intaglio
290,,186,a intaglio
291,,186,a intaglio
292,,186,a intaglio
293,,186,a intaglio
294,,186,a intaglio
295,,186,a intaglio
296,,186,a intaglio
297,,186,a intaglio
298,,186,a intaglio
299,,186,a intaglio
300,,26,a intaglio
301,,26,a intaglio
302,,26,a intaglio
303,,26,a intaglio
304,,25,a mano
305,,53,Tecnica non presente in lista
306,,53,Tecnica non presente in lista
307,,53,Tecnica non presente in lista
308,,53,Tecnica non presente in lista
309,,53,Tecnica non presente in lista
310,,53,Tecnica non presente in lista
311,,53,Tecnica non presente in lista
312,,53,Tecnica non presente in lista
313,,53,Tecnica non presente in lista
314,,53,Tecnica non presente in lista
315,,53,Tecnica non presente in lista
316,,53,Tecnica non presente in lista
317,,26,a intaglio
318,,186,a intaglio
319,,186,a intaglio
320,,34,fusione
321,,34,"fusione, argentatura"
322,,34,fusione
323,,34,"fusione, argentatura"
324,,34,fusione
325,,34,fusione
326,,34,fusione
327,,25,a matrice
328,,22,fusione
328,,186,a intaglio
329,,25,a matrice
330,,25,a matrice
331,,25,a matrice
332,,25,a matrice
333,,53,Tecnica non presente in lista
334,,184,fusione
335,,25,a matrice
336,,25,a matrice
337,,25,a matrice
338,,25,a matrice
339,,25,a matrice
340,,25,a matrice
341,,25,a matrice
342,,25,a matrice
343,,25,a matrice
344,,25,a matrice
345,,25,a matrice
346,,25,a mano
347,,25,a matrice
348,,25,a matrice
349,,25,a matrice
350,,25,a matrice
351,,25,a matrice
352,,26,a intaglio
353,,186,a intaglio
354,,25,a mano
355,,25,modellatura a tornio
356,,71,"fusione, battitura a caldo"
357,,34,fusione
358,,25,a matrice
359,,25,modellatura a tornio
360,,25,modellatura a tornio
361,,25,modellatura a tornio
362,,25,modellatura a tornio
363,,25,modellatura a tornio
364,,25,modellatura a tornio
365,,25,modellatura a tornio
366,,25,modellatura a tornio
367,,34,fusione
368,,34,fusione
369,,34,fusione
370,,25,modellatura a tornio
371,,25,"modellatura a tornio, a matrice"
372,,53,Tecnica non presente in lista
373,,26,a intaglio
374,,186,a intaglio
375,,186,a intaglio
376,,25,"modellatura a tornio, a matrice"
377,,25,"modellatura a tornio, a stampo"
378,,25,modellatura a tornio
379,,25,modellatura a tornio
380,,25,modellatura a tornio
381,,25,modellatura a tornio
382,,34,fusione
383,,272,soffiatura libera
384,,71,"fusione, battitura a caldo"
385,,34,fusione
385,,71,battitura a caldo
386,,25,a matrice
387,,26,a intaglio
388,,71,"fusione, battitura a caldo"
389,,71,"fusione, battitura a caldo"
390,,184,fusione
391,,184,fusione
391,,272,a intaglio
392,,196,a intaglio
392,,184,fusione
393,,184,fusione
394,,184,filatura
395,,272,soffiatura libera
396,,25,modellatura a tornio
397,,25,modellatura a tornio
398,,25,modellatura a tornio
399,,272,soffiatura libera
400,,25,modellatura a tornio
401,,25,modellatura a tornio
402,,272,soffiatura libera
403,,25,modellatura a tornio
404,,25,modellatura a tornio
405,,25,modellatura a tornio
406,,272,soffiatura libera
407,,272,soffiatura libera
408,,272,soffiatura libera
409,,272,soffiatura libera
410,,272,soffiatura libera
411,,272,soffiatura libera
412,,272,soffiatura libera
413,,272,soffiatura libera
414,,272,soffiatura libera
415,,272,soffiatura libera
416,,272,soffiatura libera
417,,272,soffiatura libera
418,,272,soffiatura libera
419,,272,soffiatura libera
420,,22,fusione
420,,26,a intaglio
421,,272,soffiatura libera
422,,26,a intaglio
423,,26,a intaglio
424,,272,soffiatura libera
425,,272,soffiatura libera
426,,34,fusione
427,,272,soffiatura libera
428,,272,soffiatura libera
429,,272,soffiatura libera
430,,272,soffiatura libera
431,,184,fusione
432,,34,fusione
433,,34,fusione
433,,71,fusione
434,,34,fusione
434,,71,fusione
435,,34,fusione
435,,71,fusione
436,,34,fusione
436,,71,fusione
437,,22,fusione
438,,184,fusione
439,,196,a intaglio
439,,184,fusione
440,,184,fusione
441,,208,fusione
442,,208,fusione
443,,184,fusione
444,,196,a intaglio
444,,184,fusione
445,,22,"a sbalzo, doratura a foglia"
446,,22,"battitura, doratura a foglia"
447,,184,"trafilatura, ritaglio, a sbalzo per impression, a intreccio"
447,,272,colatura libera
448,,196,Tecnica non presente in lista
448,,184,"trafilatura, ritaglio, a sbalzo per impression, a intreccio"
448,,272,colatura libera
449,,184,"trafilatura, ritaglio, a sbalzo per impression, a intreccio"
449,,272,colatura libera
450,,272,soffiatura libera
451,,272,soffiatura libera
452,,25,modellatura a tornio
453,,25,modellatura a tornio
454,,25,modellatura a tornio
455,,25,modellatura a tornio
456,,22,fusione
456,,272,soffiatura libera
457,,25,modellatura a tornio
458,,184,"trafilatura, ritaglio, a sbalzo per impression, a intreccio"
459,,184,"trafilatura, ritaglio, a sbalzo per impression, a intreccio"
459,,272,colatura libera
460,,184,"a sbalzo per impressione, ritaglio"
461,,25,"a mano, doratura a foglia"
462,,184,"a sbalzo per impressione, ritaglio"
463,,34,fusione
464,,22,fusione
465,,34,"fusione, argentatura"
466,,34,"fusione, argentatura"
467,,34,"fusione, argentatura"
468,,25,modellatura a tornio
469,,25,modellatura a tornio
470,,26,a intaglio
471,,22,fusione
472,,26,a intaglio
473,,26,a intaglio
474,,25,modellatura a tornio
475,,25,modellatura a tornio
476,,25,modellatura a tornio
477,,25,modellatura a tornio
478,,25,modellatura a tornio
479,,25,modellatura a tornio
480,,25,modellatura a tornio
481,,272,soffiatura libera
482,,272,soffiatura libera
483,,272,soffiatura libera
484,,272,soffiatura libera
485,,272,soffiatura libera
486,,272,soffiatura libera
487,,272,soffiatura libera
488,,25,modellatura a tornio
489,,25,modellatura a tornio
490,,272,soffiatura libera
491,,272,soffiatura libera
492,,25,modellatura a tornio
493,,25,modellatura a tornio
494,,272,soffiatura libera
495,,25,modellatura a tornio
496,,25,modellatura a tornio
497,,25,modellatura a tornio
498,,25,modellatura a tornio
499,,25,modellatura a tornio
500,,25,modellatura a tornio
501,,25,modellatura a tornio
502,,25,modellatura a tornio
